team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Barcelona,5,14.0,4.0,3,10.0,1.0,4.0,3.0,2
Ath Bilbao,5,10.0,6.0,3,7.0,4.0,3.0,2.0,2
Villarreal,5,9.0,8.0,2,6.0,2.0,3.0,6.0,3
Sociedad,5,9.0,9.0,2,6.0,4.0,3.0,5.0,3
Real Madrid,5,9.0,5.0,3,6.0,3.0,3.0,2.0,2
Betis,5,8.0,5.0,3,5.0,4.0,3.0,1.0,2
Espanol,5,8.0,14.0,2,3.0,4.0,5.0,10.0,3
Vallecano,5,7.0,7.0,3,5.0,4.0,2.0,3.0,2
Celta,5,7.0,5.0,2,3.0,2.0,4.0,3.0,3
Sevilla,5,6.0,8.0,2,2.0,2.0,4.0,6.0,3
Osasuna,5,6.0,5.0,2,4.0,3.0,2.0,2.0,3
Girona,5,6.0,7.0,2,3.0,3.0,3.0,4.0,3
Ath Madrid,5,5.0,6.0,2,4.0,3.0,1.0,3.0,3
Alaves,5,5.0,8.0,2,2.0,4.0,3.0,4.0,3
Getafe,5,5.0,2.0,3,2.0,2.0,3.0,0.0,2
Elche,5,5.0,10.0,3,3.0,5.0,2.0,5.0,2
Oviedo,5,5.0,9.0,3,2.0,3.0,3.0,6.0,2
Mallorca,5,5.0,9.0,3,5.0,4.0,0.0,5.0,2
Valencia,5,5.0,6.0,2,1.0,2.0,4.0,4.0,3
Levante,5,4.0,10.0,3,2.0,3.0,2.0,7.0,2
