team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Inter,27,64.0,21.0,14,38.0,12.0,26.0,9.0,13
Juventus,27,46.0,28.0,13,25.0,12.0,21.0,16.0,14
Como,27,44.0,20.0,14,24.0,10.0,20.0,10.0,13
Milan,27,43.0,20.0,13,18.0,11.0,25.0,9.0,14
Napoli,27,41.0,28.0,12,21.0,11.0,20.0,17.0,15
Roma,27,37.0,19.0,14,22.0,9.0,15.0,10.0,13
Atalanta,27,37.0,24.0,14,22.0,11.0,15.0,13.0,13
Bologna,27,36.0,32.0,13,13.0,14.0,23.0,18.0,14
Sassuolo,27,34.0,36.0,14,17.0,20.0,17.0,16.0,13
Genoa,27,32.0,39.0,14,17.0,18.0,15.0,21.0,13
Udinese,27,31.0,39.0,14,16.0,18.0,15.0,21.0,13
Fiorentina,27,30.0,42.0,13,18.0,19.0,12.0,23.0,14
Cagliari,27,29.0,36.0,13,15.0,15.0,14.0,21.0,14
Torino,27,27.0,47.0,14,15.0,22.0,12.0,25.0,13
Lazio,27,26.0,27.0,13,18.0,16.0,8.0,11.0,14
Cremonese,27,21.0,38.0,13,11.0,17.0,10.0,21.0,14
Pisa,27,20.0,44.0,14,4.0,17.0,16.0,27.0,13
Parma,27,20.0,32.0,14,11.0,19.0,9.0,13.0,13
Verona,27,20.0,48.0,13,12.0,21.0,8.0,27.0,14
Lecce,27,18.0,36.0,14,9.0,18.0,9.0,18.0,13
