team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Paris SG,5,12.0,4.0,2,8.0,0.0,4.0,4.0,3,1.79,0.6,2.73,0.0,1.09,1.09
Lens,5,12.0,7.0,3,6.0,4.0,6.0,3.0,2,1.79,1.04,1.36,0.91,2.45,1.23
Strasbourg,5,11.0,8.0,2,4.0,3.0,7.0,5.0,3,1.64,1.19,1.36,1.02,1.91,1.36
Lyon,5,10.0,5.0,2,3.0,0.0,7.0,5.0,3,1.49,0.74,1.02,0.0,1.91,1.36
Monaco,5,10.0,3.0,2,7.0,1.0,3.0,2.0,3,1.49,0.45,2.39,0.34,0.82,0.55
Nice,5,9.0,8.0,3,5.0,5.0,4.0,3.0,2,1.34,1.19,1.14,1.14,1.64,1.23
Lorient,5,9.0,6.0,2,4.0,1.0,5.0,5.0,3,1.34,0.89,1.36,0.34,1.36,1.36
Marseille,5,7.0,12.0,2,5.0,3.0,2.0,9.0,3,1.04,1.79,1.7,1.02,0.55,2.45
Rennes,5,7.0,10.0,2,3.0,3.0,4.0,7.0,3,1.04,1.49,1.02,1.02,1.09,1.91
Brest,5,7.0,5.0,3,4.0,2.0,3.0,3.0,2,1.04,0.74,0.91,0.45,1.23,1.23
Nantes,5,5.0,10.0,3,3.0,5.0,2.0,5.0,2,0.74,1.49,0.68,1.14,0.82,2.05
Le Havre,5,4.0,5.0,3,4.0,2.0,0.0,3.0,2,0.6,0.74,0.91,0.45,0.0,1.23
Toulouse,5,4.0,4.0,2,1.0,1.0,3.0,3.0,3,0.6,0.6,0.34,0.34,0.82,0.82
Auxerre,5,3.0,5.0,3,0.0,4.0,3.0,1.0,2,0.45,0.74,0.0,0.91,1.23,0.41
Metz,5,3.0,12.0,3,3.0,8.0,0.0,4.0,2,0.45,1.79,0.68,1.82,0.0,1.64
Lille,5,3.0,6.0,2,2.0,5.0,1.0,1.0,3,0.45,0.89,0.68,1.7,0.27,0.27
Paris FC,5,3.0,8.0,3,2.0,7.0,1.0,1.0,2,0.45,1.19,0.45,1.59,0.41,0.41
Angers,5,2.0,3.0,3,2.0,1.0,0.0,2.0,2,0.3,0.45,0.45,0.23,0.0,0.82
