team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Man City,26,54,24,13,32,8,22,16,13,1.49,0.66,1.59,0.4,1.37,0.99
Arsenal,27,52,20,13,31,8,21,12,14,1.38,0.53,1.54,0.4,1.21,0.69
Chelsea,26,47,30,13,22,15,25,15,13,1.3,0.83,1.1,0.75,1.55,0.93
Man United,26,47,37,13,25,15,22,22,13,1.3,1.02,1.25,0.75,1.37,1.37
Bournemouth,26,43,45,13,20,14,23,31,13,1.19,1.24,1.0,0.7,1.43,1.93
Liverpool,26,41,35,13,21,14,20,21,13,1.13,0.97,1.05,0.7,1.24,1.31
Brentford,26,40,35,13,24,13,16,22,13,1.11,0.97,1.2,0.65,0.99,1.37
Aston Villa,26,37,27,13,19,10,18,17,13,1.02,0.75,0.95,0.5,1.12,1.06
Newcastle,26,37,37,13,24,20,13,17,13,1.02,1.02,1.2,1.0,0.81,1.06
Tottenham,26,36,37,13,16,18,20,19,13,1.0,1.02,0.8,0.9,1.24,1.18
Leeds,26,36,45,13,22,18,14,27,13,1.0,1.24,1.1,0.9,0.87,1.68
Fulham,26,35,40,13,22,16,13,24,13,0.97,1.11,1.1,0.8,0.81,1.49
Brighton,26,34,34,13,20,14,14,20,13,0.94,0.94,1.0,0.7,0.87,1.24
West Ham,26,32,49,13,17,27,15,22,13,0.88,1.36,0.85,1.35,0.93,1.37
Everton,26,29,30,13,16,18,13,12,13,0.8,0.83,0.8,0.9,0.81,0.75
Crystal Palace,26,28,32,13,13,18,15,14,13,0.77,0.88,0.65,0.9,0.93,0.87
Burnley,26,28,51,13,12,19,16,32,13,0.77,1.41,0.6,0.95,0.99,1.99
Sunderland,26,27,30,13,21,10,6,20,13,0.75,0.83,1.05,0.5,0.37,1.24
Nott'm Forest,26,25,38,13,13,18,12,20,13,0.69,1.05,0.65,0.9,0.75,1.24
Wolves,27,18,50,14,13,30,5,20,13,0.48,1.33,0.6,1.39,0.31,1.24
