team,side,team_Oi,team_Di,opponent,opponent_Oi,opponent_Di,expected_gf,expected_ga
Nott'ham Forest,H,1.54,0.77,West Ham,0.38,3.08,4.74,0.29
Arsenal,A,2.31,0.0,Liverpool,2.69,1.54,3.56,0.0
Tottenham,H,1.92,0.0,Bournemouth,1.15,1.54,2.96,0.0
Manchester City,A,1.54,0.77,Brighton,0.38,1.15,1.77,0.29
Chelsea,H,1.92,0.38,Fulham,0.77,0.77,1.48,0.29
Everton,A,0.77,0.38,Wolves,0.0,1.92,1.48,0.0
Newcastle Utd,A,0.77,1.15,Leeds United,0.38,1.92,1.48,0.44
Sunderland,H,1.15,0.77,Brentford,0.77,1.15,1.32,0.59
Brentford,A,0.77,1.15,Sunderland,1.15,0.77,0.59,1.32
Burnley,A,0.77,1.15,Manchester Utd,0.38,0.77,0.59,0.44
Manchester Utd,H,0.38,0.77,Burnley,0.77,1.15,0.44,0.59
Leeds United,H,0.38,1.92,Newcastle Utd,0.77,1.15,0.44,1.48
Fulham,A,0.77,0.77,Chelsea,1.92,0.38,0.29,1.48
Brighton,H,0.38,1.15,Manchester City,1.54,0.77,0.29,1.77
West Ham,A,0.38,3.08,Nott'ham Forest,1.54,0.77,0.29,4.74
Crystal Palace,A,0.38,0.38,Aston Villa,0.0,0.38,0.14,0.0
Liverpool,H,2.69,1.54,Arsenal,2.31,0.0,0.0,3.56
Aston Villa,H,0.0,0.38,Crystal Palace,0.38,0.38,0.0,0.14
Bournemouth,A,1.15,1.54,Tottenham,1.92,0.0,0.0,2.96
Wolves,H,0.0,1.92,Everton,0.77,0.38,0.0,1.48
