team,team_Oi,team_Di,opponents_Oi,opponents_Di,expected_gf,expected_ga,opponents
Tottenham,9.6,0.0,2.29,9.61,18.46,0.0,"Bournemouth(H), West Ham(A), Brighton(A), Wolves(H), Leeds United(A)"
Arsenal,11.55,0.0,6.92,7.31,16.89,0.0,"Liverpool(A), Nott'ham Forest(H), Manchester City(H), Newcastle Utd(A), West Ham(H)"
Chelsea,9.6,1.9,4.99,5.38,10.34,1.88,"Fulham(H), Brentford(A), Manchester Utd(A), Brighton(H), Liverpool(H)"
Nott'ham Forest,7.7,3.85,5.38,6.15,9.47,4.14,"West Ham(H), Arsenal(A), Burnley(A), Sunderland(H), Newcastle Utd(A)"
Manchester City,7.7,3.85,4.61,4.22,6.5,3.54,"Brighton(A), Manchester Utd(H), Arsenal(A), Burnley(H), Brentford(A)"
Liverpool,13.45,7.7,6.15,2.29,6.15,9.49,"Arsenal(H), Burnley(A), Everton(H), Crystal Palace(A), Chelsea(A)"
Bournemouth,5.75,7.7,4.22,4.99,5.74,6.52,"Tottenham(A), Brighton(H), Newcastle Utd(H), Leeds United(A), Fulham(H)"
Everton,3.85,1.9,3.45,7.3,5.62,1.3,"Wolves(A), Aston Villa(H), Liverpool(A), West Ham(H), Crystal Palace(H)"
Newcastle Utd,3.85,5.75,5.38,6.15,4.74,6.19,"Leeds United(A), Wolves(H), Bournemouth(A), Arsenal(H), Nott'ham Forest(H)"
Fulham,3.85,3.85,4.22,5.37,4.14,3.25,"Chelsea(A), Leeds United(H), Brentford(H), Aston Villa(A), Bournemouth(A)"
Sunderland,5.75,3.85,3.07,3.45,3.98,2.36,"Brentford(H), Crystal Palace(A), Aston Villa(H), Nott'ham Forest(A), Manchester Utd(A)"
Burnley,3.85,5.75,6.15,4.23,3.25,7.07,"Manchester Utd(A), Liverpool(H), Nott'ham Forest(H), Manchester City(A), Aston Villa(A)"
Brentford,3.85,5.75,5.76,3.46,2.65,6.63,"Sunderland(A), Chelsea(H), Fulham(A), Manchester Utd(H), Manchester City(H)"
Crystal Palace,1.9,1.9,4.99,6.15,2.33,1.89,"Aston Villa(A), Sunderland(H), West Ham(A), Liverpool(H), Everton(A)"
Leeds United,1.9,9.6,4.61,5.38,2.05,8.86,"Newcastle Utd(H), Fulham(A), Wolves(A), Bournemouth(H), Tottenham(H)"
Brighton,1.9,5.75,6.53,4.61,1.75,7.51,"Manchester City(H), Bournemouth(A), Tottenham(H), Chelsea(A), Wolves(A)"
Manchester Utd,1.9,3.85,6.15,4.22,1.6,4.74,"Burnley(H), Manchester City(A), Chelsea(H), Brentford(A), Sunderland(H)"
West Ham,1.9,15.4,6.92,1.53,0.57,21.3,"Nott'ham Forest(A), Tottenham(H), Crystal Palace(H), Everton(A), Arsenal(A)"
Aston Villa,0.0,1.9,3.84,3.45,0.0,1.45,"Crystal Palace(H), Everton(A), Sunderland(A), Fulham(H), Burnley(H)"
Wolves,0.0,9.6,4.22,4.6,0.0,8.11,"Everton(H), Newcastle Utd(A), Leeds United(H), Tottenham(A), Brighton(H)"
