team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Liverpool,2,7,4,1,4,2,3,2,1,2.69,1.54,2.58,1.29,2.86,1.9
Arsenal,2,6,0,1,5,0,1,0,1,2.31,0.0,3.23,0.0,0.95,0.0
Chelsea,2,5,1,1,0,0,5,1,1,1.92,0.38,0.0,0.0,4.76,0.95
Tottenham,2,5,0,1,3,0,2,0,1,1.92,0.0,1.94,0.0,1.9,0.0
Manchester City,2,4,2,1,0,2,4,0,1,1.54,0.77,0.0,1.29,3.81,0.0
Nott'ham Forest,2,4,2,1,3,1,1,1,1,1.54,0.77,1.94,0.65,0.95,0.95
Bournemouth,2,3,4,1,1,0,2,4,1,1.15,1.54,0.65,0.0,1.9,3.81
Sunderland,2,3,2,1,3,0,0,2,1,1.15,0.77,1.94,0.0,0.0,1.9
Newcastle Utd,2,2,3,1,2,3,0,0,1,0.77,1.15,1.29,1.94,0.0,0.0
Brentford,2,2,3,1,1,0,1,3,1,0.77,1.15,0.65,0.0,0.95,2.86
Burnley,2,2,3,1,2,0,0,3,1,0.77,1.15,1.29,0.0,0.0,2.86
Everton,2,2,1,1,2,0,0,1,1,0.77,0.38,1.29,0.0,0.0,0.95
Fulham,2,2,2,1,1,1,1,1,1,0.77,0.77,0.65,0.65,0.95,0.95
West Ham,2,1,8,1,1,5,0,3,1,0.38,3.08,0.65,3.23,0.0,2.86
Leeds United,2,1,5,1,1,0,0,5,1,0.38,1.92,0.65,0.0,0.0,4.76
Manchester Utd,2,1,2,1,0,1,1,1,1,0.38,0.77,0.0,0.65,0.95,0.95
Crystal Palace,2,1,1,1,1,1,0,0,1,0.38,0.38,0.65,0.65,0.0,0.0
Brighton,2,1,3,1,1,1,0,2,1,0.38,1.15,0.65,0.65,0.0,1.9
Aston Villa,2,0,1,1,0,0,0,1,1,0.0,0.38,0.0,0.0,0.0,0.95
Wolves,2,0,5,1,0,4,0,1,1,0.0,1.92,0.0,2.58,0.0,0.95
