team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Leeds United,Everton(H),Arsenal(A),Newcastle Utd(H),Fulham(A),Wolves(A),Bournemouth(H),Tottenham(H),Burnley(A),West Ham(H),Brighton(A),Nott'ham Forest(A),Aston Villa(H),Manchester City(A),Chelsea(H),Liverpool(H),Brentford(A),Crystal Palace(H),Sunderland(A),Liverpool(A),Manchester Utd(H),Newcastle Utd(A),Fulham(H),Everton(A),Arsenal(H),Nott'ham Forest(H),Chelsea(A),Aston Villa(A),Manchester City(H),Sunderland(H),Crystal Palace(A),Brentford(H),Manchester Utd(A),Wolves(H),Bournemouth(A),Burnley(H),Tottenham(A),Brighton(H),West Ham(A)
Liverpool,Bournemouth(H),Newcastle Utd(A),Arsenal(H),Burnley(A),Everton(H),Crystal Palace(A),Chelsea(A),Manchester Utd(H),Brentford(A),Aston Villa(H),Manchester City(A),Nott'ham Forest(H),West Ham(A),Sunderland(H),Leeds United(A),Brighton(H),Tottenham(A),Wolves(H),Leeds United(H),Fulham(A),Arsenal(A),Burnley(H),Bournemouth(A),Newcastle Utd(H),Manchester City(H),Sunderland(A),Nott'ham Forest(A),West Ham(H),Wolves(A),Tottenham(H),Brighton(A),Fulham(H),Everton(A),Crystal Palace(H),Manchester Utd(A),Chelsea(H),Aston Villa(A),Brentford(H)
Manchester City,Wolves(A),Tottenham(H),Brighton(A),Manchester Utd(H),Arsenal(A),Burnley(H),Brentford(A),Everton(H),Aston Villa(A),Bournemouth(H),Liverpool(H),Newcastle Utd(A),Leeds United(H),Fulham(A),Sunderland(H),Crystal Palace(A),West Ham(H),Nott'ham Forest(A),Sunderland(A),Chelsea(H),Brighton(H),Manchester Utd(A),Wolves(H),Tottenham(A),Liverpool(A),Fulham(H),Newcastle Utd(H),Leeds United(A),Nott'ham Forest(H),West Ham(A),Crystal Palace(H),Chelsea(A),Arsenal(H),Burnley(A),Everton(A),Brentford(H),Bournemouth(A),Aston Villa(H)
Manchester Utd,Arsenal(H),Fulham(A),Burnley(H),Manchester City(A),Chelsea(H),Brentford(A),Sunderland(H),Liverpool(A),Brighton(H),Nott'ham Forest(A),Tottenham(A),Everton(H),Crystal Palace(A),West Ham(H),Wolves(A),Bournemouth(H),Aston Villa(A),Newcastle Utd(H),Wolves(H),Leeds United(A),Burnley(A),Manchester City(H),Arsenal(A),Fulham(H),Tottenham(H),West Ham(A),Everton(A),Crystal Palace(H),Newcastle Utd(A),Aston Villa(H),Bournemouth(A),Leeds United(H),Chelsea(A),Brentford(H),Liverpool(H),Sunderland(A),Nott'ham Forest(H),Brighton(A)
Newcastle Utd,Aston Villa(A),Liverpool(H),Leeds United(A),Wolves(H),Bournemouth(A),Arsenal(H),Nott'ham Forest(H),Brighton(A),Fulham(H),West Ham(A),Brentford(A),Manchester City(H),Everton(A),Tottenham(H),Burnley(H),Sunderland(A),Chelsea(H),Manchester Utd(A),Burnley(A),Crystal Palace(H),Leeds United(H),Wolves(A),Aston Villa(H),Liverpool(A),Brentford(H),Tottenham(A),Manchester City(A),Everton(H),Manchester Utd(H),Chelsea(A),Sunderland(H),Crystal Palace(A),Bournemouth(H),Arsenal(A),Brighton(H),Nott'ham Forest(A),West Ham(H),Fulham(A)
Nott'ham Forest,Brentford(H),Crystal Palace(A),West Ham(H),Arsenal(A),Burnley(A),Sunderland(H),Newcastle Utd(A),Chelsea(H),Bournemouth(A),Manchester Utd(H),Leeds United(H),Liverpool(A),Brighton(H),Wolves(A),Everton(A),Tottenham(H),Fulham(A),Manchester City(H),Everton(H),Aston Villa(A),West Ham(A),Arsenal(H),Brentford(A),Crystal Palace(H),Leeds United(A),Wolves(H),Liverpool(H),Brighton(A),Manchester City(A),Fulham(H),Tottenham(A),Aston Villa(H),Burnley(H),Sunderland(A),Chelsea(A),Newcastle Utd(H),Manchester Utd(A),Bournemouth(H)
Sunderland,West Ham(H),Burnley(A),Brentford(H),Crystal Palace(A),Aston Villa(H),Nott'ham Forest(A),Manchester Utd(A),Wolves(H),Chelsea(A),Everton(H),Arsenal(H),Fulham(A),Bournemouth(H),Liverpool(A),Manchester City(A),Newcastle Utd(H),Brighton(A),Leeds United(H),Manchester City(H),Tottenham(A),Brentford(A),Crystal Palace(H),West Ham(A),Burnley(H),Arsenal(A),Liverpool(H),Fulham(H),Bournemouth(A),Leeds United(A),Brighton(H),Newcastle Utd(A),Tottenham(H),Aston Villa(A),Nott'ham Forest(H),Wolves(A),Manchester Utd(H),Everton(A),Chelsea(H)
Tottenham,Burnley(H),Manchester City(A),Bournemouth(H),West Ham(A),Brighton(A),Wolves(H),Leeds United(A),Aston Villa(H),Everton(A),Chelsea(H),Manchester Utd(H),Arsenal(A),Fulham(H),Newcastle Utd(A),Brentford(H),Nott'ham Forest(A),Liverpool(H),Crystal Palace(A),Brentford(A),Sunderland(H),Bournemouth(A),West Ham(H),Burnley(A),Manchester City(H),Manchester Utd(A),Newcastle Utd(H),Arsenal(H),Fulham(A),Crystal Palace(H),Liverpool(A),Nott'ham Forest(H),Sunderland(A),Brighton(H),Wolves(A),Aston Villa(A),Leeds United(H),Chelsea(A),Everton(H)
West Ham,Sunderland(A),Chelsea(H),Nott'ham Forest(A),Tottenham(H),Crystal Palace(H),Everton(A),Arsenal(A),Brentford(H),Leeds United(A),Newcastle Utd(H),Burnley(H),Bournemouth(A),Liverpool(H),Manchester Utd(A),Brighton(A),Aston Villa(H),Manchester City(A),Fulham(H),Brighton(H),Wolves(A),Nott'ham Forest(H),Tottenham(A),Sunderland(H),Chelsea(A),Burnley(A),Manchester Utd(H),Bournemouth(H),Liverpool(A),Fulham(A),Manchester City(H),Aston Villa(A),Wolves(H),Crystal Palace(A),Everton(H),Brentford(A),Arsenal(H),Newcastle Utd(A),Leeds United(H)
Wolves,Manchester City(H),Bournemouth(A),Everton(H),Newcastle Utd(A),Leeds United(H),Tottenham(A),Brighton(H),Sunderland(A),Burnley(H),Fulham(A),Chelsea(A),Crystal Palace(H),Aston Villa(A),Nott'ham Forest(H),Manchester Utd(H),Arsenal(A),Brentford(H),Liverpool(A),Manchester Utd(A),West Ham(H),Everton(A),Newcastle Utd(H),Manchester City(A),Bournemouth(H),Chelsea(H),Nott'ham Forest(A),Crystal Palace(A),Aston Villa(H),Liverpool(H),Brentford(A),Arsenal(H),West Ham(A),Leeds United(A),Tottenham(H),Sunderland(H),Brighton(A),Fulham(H),Burnley(A)
