team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Arsenal,1,1,0,0,0,0,1,0,1,0.83,0.0,,,1.11,0.0
Aston Villa,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,
Bournemouth,1,2,4,0,0,0,2,4,1,1.67,3.33,,,2.22,4.44
Brentford,1,1,3,0,0,0,1,3,1,0.83,2.5,,,1.11,3.33
Brighton,1,1,1,1,1,1,0,0,0,0.83,0.83,0.67,0.67,,
Burnley,1,0,3,0,0,0,0,3,1,0.0,2.5,,,0.0,3.33
Chelsea,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,
Crystal Palace,1,0,0,0,0,0,0,0,1,0.0,0.0,,,0.0,0.0
Everton,1,0,1,0,0,0,0,1,1,0.0,0.83,,,0.0,1.11
Fulham,1,1,1,0,0,0,1,1,1,0.83,0.83,,,1.11,1.11
Leeds United,1,1,0,1,1,0,0,0,0,0.83,0.0,0.67,0.0,,
Liverpool,1,4,2,1,4,2,0,0,0,3.33,1.67,2.67,1.33,,
Manchester City,1,4,0,0,0,0,4,0,1,3.33,0.0,,,4.44,0.0
Manchester Utd,1,0,1,1,0,1,0,0,0,0.0,0.83,0.0,0.67,,
Newcastle Utd,1,0,0,0,0,0,0,0,1,0.0,0.0,,,0.0,0.0
Nott'ham Forest,1,3,1,1,3,1,0,0,0,2.5,0.83,2.0,0.67,,
Sunderland,1,3,0,1,3,0,0,0,0,2.5,0.0,2.0,0.0,,
Tottenham,1,3,0,1,3,0,0,0,0,2.5,0.0,2.0,0.0,,
West Ham,1,0,3,0,0,0,0,3,1,0.0,2.5,,,0.0,3.33
Wolves,1,0,4,1,0,4,0,0,0,0.0,3.33,0.0,2.67,,
