team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games,Oi,Di,h_Oi,h_Di,a_Oi,a_Di
Arsenal,1,1,0,0,0,0,1,0,1,0.7,0.0,,,1.0,0.0
Aston Villa,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,
Bournemouth,1,2,4,0,0,0,2,4,1,1.39,2.78,,,2.0,4.0
Brentford,1,1,3,0,0,0,1,3,1,0.7,2.09,,,1.0,3.0
Brighton,1,1,1,1,1,1,0,0,0,0.7,0.7,0.5,0.5,,
Burnley,1,0,3,0,0,0,0,3,1,0.0,2.09,,,0.0,3.0
Chelsea,0,0,0,0,0,0,0,0,0,,,,,,
Crystal Palace,1,0,0,0,0,0,0,0,1,0.0,0.0,,,0.0,0.0
Everton,0,0,0,0,0,0,0,0,0,,,,,,
Fulham,1,1,1,0,0,0,1,1,1,0.7,0.7,,,1.0,1.0
Leeds United,0,0,0,0,0,0,0,0,0,,,,,,
Liverpool,1,4,2,1,4,2,0,0,0,2.78,1.39,2.0,1.0,,
Manchester City,1,4,0,0,0,0,4,0,1,2.78,0.0,,,4.0,0.0
Manchester Utd,0,0,0,0,0,0,0,0,0,,,,,,
Newcastle Utd,1,0,0,0,0,0,0,0,1,0.0,0.0,,,0.0,0.0
Nott'ham Forest,1,3,1,1,3,1,0,0,0,2.09,0.7,1.5,0.5,,
Sunderland,1,3,0,1,3,0,0,0,0,2.09,0.0,1.5,0.0,,
Tottenham,1,3,0,1,3,0,0,0,0,2.09,0.0,1.5,0.0,,
West Ham,1,0,3,0,0,0,0,3,1,0.0,2.09,,,0.0,3.0
Wolves,1,0,4,1,0,4,0,0,0,0.0,2.78,0.0,2.0,,
