Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
283,Mateta,FWD,Crystal Palace,7.7,Brentford,1.11,0.97,1.26,1.22,1.11,1.25,1.268,1.58,-0.36
430,Haaland,FWD,Manchester City,14.7,Bournemouth,1.25,0.83,0.696,0.58,0.42,1.39,0.726,1.01,-0.43
666,Gyökeres,FWD,Arsenal,9.0,Burnley,0.97,1.39,0.3359999999999999,0.47,0.28,1.11,0.58,0.64,-0.17
160,Minteh,MID,Brighton,6.0,Leeds United,1.39,1.11,0.404,0.45,1.25,1.11,1.238,1.37,-0.92
384,Gakpo,MID,Liverpool,7.6,Aston Villa,0.97,0.56,0.6719999999999999,0.38,1.39,1.25,1.244,1.56,-1.18
575,Van de Ven,DEF,Tottenham,4.7,Chelsea,1.25,1.11,0.2799999999999999,0.31,0.83,1.11,1.2,1.33,-1.02
582,Kudus,MID,Tottenham,6.8,Chelsea,1.25,1.11,0.252,0.28,0.83,1.11,1.106,1.23,-0.95
683,Alderete,DEF,Sunderland,4.1,Everton,0.83,1.25,0.1625,0.2,0.56,0.56,1.265,0.71,-0.51
5,Gabriel,DEF,Arsenal,6.4,Burnley,0.97,1.39,0.134,0.19,0.28,1.11,0.58,0.64,-0.45
82,Semenyo,MID,Bournemouth,8.1,Manchester City,1.39,0.42,0.274,0.12,0.83,1.25,1.53,1.91,-1.79
72,Senesi,DEF,Bournemouth,5.0,Manchester City,1.39,0.42,0.204,0.09,0.83,1.25,1.474,1.84,-1.75
317,Andersen,DEF,Fulham,4.5,Wolves,0.83,1.39,0.06,0.08,1.39,0.69,0.845,0.58,-0.5
200,Anthony,MID,Burnley,5.7,Arsenal,1.11,0.28,0.158,0.04,1.39,0.97,1.614,1.57,-1.53
470,Dúbravka,GK,Burnley,4.0,Arsenal,1.11,0.28,0.0,0.0,1.39,0.97,1.93,1.87,-1.87
736,Donnarumma,GK,Manchester City,5.7,Bournemouth,1.25,0.83,0.0,0.0,0.42,1.39,0.764,1.06,-1.06
