team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Angers,['Paris FC-H'],['Paris SG-A'],['Rennes-H'],['Metz-A'],['Lyon-A'],['Brest-H'],['Strasbourg-A'],['Monaco-H'],['Lorient-H'],['Marseille-A'],['Lille-A'],['Auxerre-H'],['Toulouse-A'],['Lens-H'],['Nice-A'],['Nantes-H'],['Le Havre-A'],['Marseille-H'],['Paris FC-A'],['Metz-H'],['Toulouse-H'],['Lorient-A'],['Lille-H'],['Monaco-A'],['Nantes-A'],['Nice-H'],['Lens-A'],['Lyon-H'],['Rennes-A'],['Le Havre-H'],['Paris SG-H'],['Auxerre-A'],['Strasbourg-H'],['Brest-A']
Auxerre,['Lorient-H'],['Nice-A'],['Nantes-A'],['Monaco-H'],['Toulouse-H'],['Paris SG-A'],['Lens-H'],['Rennes-A'],['Le Havre-H'],['Strasbourg-A'],['Marseille-H'],['Angers-A'],['Lyon-H'],['Paris FC-A'],['Metz-H'],['Lille-H'],['Brest-A'],['Lens-A'],['Paris SG-H'],['Toulouse-A'],['Paris FC-H'],['Metz-A'],['Rennes-H'],['Lorient-A'],['Strasbourg-H'],['Marseille-A'],['Brest-H'],['Le Havre-A'],['Nantes-H'],['Monaco-A'],['Lyon-A'],['Angers-H'],['Nice-H'],['Lille-A']
Brest,['Lille-H'],['Toulouse-A'],['Lens-A'],['Paris FC-H'],['Nice-H'],['Angers-A'],['Nantes-H'],['Lorient-A'],['Paris SG-H'],['Le Havre-A'],['Lyon-H'],['Marseille-A'],['Metz-H'],['Strasbourg-A'],['Monaco-H'],['Rennes-A'],['Auxerre-H'],['Lyon-A'],['Toulouse-H'],['Nice-A'],['Lorient-H'],['Lille-A'],['Marseille-H'],['Metz-A'],['Le Havre-H'],['Monaco-A'],['Auxerre-A'],['Rennes-H'],['Strasbourg-H'],['Nantes-A'],['Lens-H'],['Paris FC-A'],['Paris SG-A'],['Angers-H']
Le Havre,['Monaco-A'],['Lens-H'],['Nice-H'],['Strasbourg-A'],['Lorient-H'],['Metz-A'],['Rennes-H'],['Marseille-A'],['Auxerre-A'],['Brest-H'],['Toulouse-A'],['Nantes-H'],['Paris SG-A'],['Lille-H'],['Paris FC-H'],['Lyon-A'],['Angers-H'],['Rennes-A'],['Monaco-H'],['Lens-A'],['Strasbourg-H'],['Toulouse-H'],['Nantes-A'],['Paris SG-H'],['Brest-A'],['Lyon-H'],['Paris FC-A'],['Auxerre-H'],['Nice-A'],['Angers-A'],['Metz-H'],['Lille-A'],['Marseille-H'],['Lorient-A']
Lens,['Lyon-H'],['Le Havre-A'],['Brest-H'],['Paris SG-A'],['Lille-H'],['Rennes-A'],['Auxerre-A'],['Paris FC-H'],['Marseille-H'],['Metz-A'],['Lorient-H'],['Monaco-A'],['Strasbourg-H'],['Angers-A'],['Nantes-A'],['Nice-H'],['Toulouse-A'],['Auxerre-H'],['Marseille-A'],['Le Havre-H'],['Rennes-H'],['Paris FC-A'],['Monaco-H'],['Strasbourg-A'],['Metz-H'],['Lorient-A'],['Angers-H'],['Lille-A'],['Paris SG-H'],['Toulouse-H'],['Brest-A'],['Nice-A'],['Nantes-H'],['Lyon-A']
Lille,['Brest-A'],['Monaco-H'],['Lorient-A'],['Toulouse-H'],['Lens-A'],['Lyon-H'],['Paris SG-H'],['Nantes-A'],['Metz-H'],['Nice-A'],['Angers-H'],['Strasbourg-A'],['Paris FC-H'],['Le Havre-A'],['Marseille-H'],['Auxerre-A'],['Rennes-H'],['Paris SG-A'],['Strasbourg-H'],['Lyon-A'],['Metz-A'],['Brest-H'],['Angers-A'],['Nantes-H'],['Lorient-H'],['Rennes-A'],['Marseille-A'],['Lens-H'],['Toulouse-A'],['Nice-H'],['Paris FC-A'],['Le Havre-H'],['Monaco-A'],['Auxerre-H']
Lorient,['Auxerre-A'],['Rennes-H'],['Lille-H'],['Marseille-A'],['Le Havre-A'],['Monaco-H'],['Paris FC-A'],['Brest-H'],['Angers-A'],['Paris SG-H'],['Lens-A'],['Toulouse-H'],['Nantes-A'],['Nice-H'],['Lyon-H'],['Strasbourg-A'],['Metz-H'],['Monaco-A'],['Rennes-A'],['Nantes-H'],['Brest-A'],['Angers-H'],['Nice-A'],['Auxerre-H'],['Lille-A'],['Lens-H'],['Toulouse-A'],['Paris FC-H'],['Lyon-A'],['Marseille-H'],['Strasbourg-H'],['Paris SG-A'],['Metz-A'],['Le Havre-H']
Lyon,['Lens-A'],['Metz-H'],['Marseille-H'],['Rennes-A'],['Angers-H'],['Lille-A'],['Toulouse-H'],['Nice-A'],['Strasbourg-H'],['Paris FC-A'],['Brest-A'],['Paris SG-H'],['Auxerre-A'],['Nantes-H'],['Lorient-A'],['Le Havre-H'],['Monaco-A'],['Brest-H'],['Metz-A'],['Lille-H'],['Nantes-A'],['Nice-H'],['Strasbourg-A'],['Marseille-A'],['Paris FC-H'],['Le Havre-A'],['Monaco-H'],['Angers-A'],['Lorient-H'],['Paris SG-A'],['Auxerre-H'],['Rennes-H'],['Toulouse-A'],['Lens-H']
Marseille,['Rennes-A'],['Paris FC-H'],['Lyon-A'],['Lorient-H'],['Paris SG-H'],['Strasbourg-A'],['Metz-A'],['Le Havre-H'],['Lens-A'],['Angers-H'],['Auxerre-A'],['Brest-H'],['Nice-A'],['Toulouse-H'],['Lille-A'],['Monaco-H'],['Nantes-H'],['Angers-A'],['Lens-H'],['Paris FC-A'],['Paris SG-A'],['Strasbourg-H'],['Brest-A'],['Lyon-H'],['Toulouse-A'],['Auxerre-H'],['Lille-H'],['Monaco-A'],['Metz-H'],['Lorient-A'],['Nice-H'],['Nantes-A'],['Le Havre-A'],['Rennes-H']
Metz,['Strasbourg-H'],['Lyon-A'],['Paris FC-A'],['Angers-H'],['Monaco-A'],['Le Havre-H'],['Marseille-H'],['Toulouse-A'],['Lille-A'],['Lens-H'],['Nantes-A'],['Nice-H'],['Brest-A'],['Rennes-H'],['Auxerre-A'],['Paris SG-H'],['Lorient-A'],['Strasbourg-A'],['Lyon-H'],['Angers-A'],['Lille-H'],['Auxerre-H'],['Paris SG-A'],['Brest-H'],['Lens-A'],['Toulouse-H'],['Rennes-A'],['Nantes-H'],['Marseille-A'],['Paris FC-H'],['Le Havre-A'],['Monaco-H'],['Lorient-H'],['Nice-A']
Monaco,['Le Havre-H'],['Lille-A'],['Strasbourg-H'],['Auxerre-A'],['Metz-H'],['Lorient-A'],['Nice-H'],['Angers-A'],['Toulouse-H'],['Nantes-A'],['Paris FC-H'],['Lens-H'],['Rennes-A'],['Paris SG-H'],['Brest-A'],['Marseille-A'],['Lyon-H'],['Lorient-H'],['Le Havre-A'],['Rennes-H'],['Nice-A'],['Nantes-H'],['Lens-A'],['Angers-H'],['Paris SG-A'],['Brest-H'],['Lyon-A'],['Marseille-H'],['Paris FC-A'],['Auxerre-H'],['Toulouse-A'],['Metz-A'],['Lille-H'],['Strasbourg-A']
Nantes,['Paris SG-H'],['Strasbourg-A'],['Auxerre-H'],['Nice-A'],['Rennes-H'],['Toulouse-A'],['Brest-A'],['Lille-H'],['Paris FC-A'],['Monaco-H'],['Metz-H'],['Le Havre-A'],['Lorient-H'],['Lyon-A'],['Lens-H'],['Angers-A'],['Marseille-A'],['Paris FC-H'],['Nice-H'],['Lorient-A'],['Lyon-H'],['Monaco-A'],['Le Havre-H'],['Lille-A'],['Angers-H'],['Paris SG-A'],['Strasbourg-H'],['Metz-A'],['Auxerre-A'],['Brest-H'],['Rennes-A'],['Marseille-H'],['Lens-A'],['Toulouse-H']
Nice,['Toulouse-H'],['Auxerre-H'],['Le Havre-A'],['Nantes-H'],['Brest-A'],['Paris FC-H'],['Monaco-A'],['Lyon-H'],['Rennes-A'],['Lille-H'],['Paris SG-A'],['Metz-A'],['Marseille-H'],['Lorient-A'],['Angers-H'],['Lens-A'],['Strasbourg-H'],['Toulouse-A'],['Nantes-A'],['Brest-H'],['Monaco-H'],['Lyon-A'],['Lorient-H'],['Paris FC-A'],['Rennes-H'],['Angers-A'],['Paris SG-H'],['Strasbourg-A'],['Le Havre-H'],['Lille-A'],['Marseille-A'],['Lens-H'],['Auxerre-A'],['Metz-H']
Paris FC,['Angers-A'],['Marseille-A'],['Metz-H'],['Brest-A'],['Strasbourg-H'],['Nice-A'],['Lorient-H'],['Lens-A'],['Nantes-H'],['Lyon-H'],['Monaco-A'],['Rennes-H'],['Lille-A'],['Auxerre-H'],['Le Havre-A'],['Toulouse-H'],['Paris SG-A'],['Nantes-A'],['Angers-H'],['Marseille-H'],['Auxerre-A'],['Lens-H'],['Toulouse-A'],['Nice-H'],['Lyon-A'],['Strasbourg-A'],['Le Havre-H'],['Lorient-A'],['Monaco-H'],['Metz-A'],['Lille-H'],['Brest-H'],['Rennes-A'],['Paris SG-H']
Paris SG,['Nantes-A'],['Angers-H'],['Toulouse-A'],['Lens-H'],['Marseille-A'],['Auxerre-H'],['Lille-A'],['Strasbourg-H'],['Brest-A'],['Lorient-A'],['Nice-H'],['Lyon-A'],['Le Havre-H'],['Monaco-A'],['Rennes-H'],['Metz-A'],['Paris FC-H'],['Lille-H'],['Auxerre-A'],['Strasbourg-A'],['Marseille-H'],['Rennes-A'],['Metz-H'],['Le Havre-A'],['Monaco-H'],['Nantes-H'],['Nice-A'],['Toulouse-H'],['Lens-A'],['Lyon-H'],['Angers-A'],['Lorient-H'],['Brest-H'],['Paris FC-A']
Rennes,['Marseille-H'],['Lorient-A'],['Angers-A'],['Lyon-H'],['Nantes-A'],['Lens-H'],['Le Havre-A'],['Auxerre-H'],['Nice-H'],['Toulouse-A'],['Strasbourg-H'],['Paris FC-A'],['Monaco-H'],['Metz-A'],['Paris SG-A'],['Brest-H'],['Lille-A'],['Le Havre-H'],['Lorient-H'],['Monaco-A'],['Lens-A'],['Paris SG-H'],['Auxerre-A'],['Toulouse-H'],['Nice-A'],['Lille-H'],['Metz-H'],['Brest-A'],['Angers-H'],['Strasbourg-A'],['Nantes-H'],['Lyon-A'],['Paris FC-H'],['Marseille-A']
Strasbourg,['Metz-A'],['Nantes-H'],['Monaco-A'],['Le Havre-H'],['Paris FC-A'],['Marseille-H'],['Angers-H'],['Paris SG-A'],['Lyon-A'],['Auxerre-H'],['Rennes-A'],['Lille-H'],['Lens-A'],['Brest-H'],['Toulouse-A'],['Lorient-H'],['Nice-A'],['Metz-H'],['Lille-A'],['Paris SG-H'],['Le Havre-A'],['Marseille-A'],['Lyon-H'],['Lens-H'],['Auxerre-A'],['Paris FC-H'],['Nantes-A'],['Nice-H'],['Brest-A'],['Rennes-H'],['Lorient-A'],['Toulouse-H'],['Angers-A'],['Monaco-H']
Toulouse,['Nice-A'],['Brest-H'],['Paris SG-H'],['Lille-A'],['Auxerre-A'],['Nantes-H'],['Lyon-A'],['Metz-H'],['Monaco-A'],['Rennes-H'],['Le Havre-H'],['Lorient-A'],['Angers-H'],['Marseille-A'],['Strasbourg-H'],['Paris FC-A'],['Lens-H'],['Nice-H'],['Brest-A'],['Auxerre-H'],['Angers-A'],['Le Havre-A'],['Paris FC-H'],['Rennes-A'],['Marseille-H'],['Metz-A'],['Lorient-H'],['Paris SG-A'],['Lille-H'],['Lens-A'],['Monaco-H'],['Strasbourg-A'],['Lyon-H'],['Nantes-A']
