team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Alaves,['Levante-H'],['Betis-A'],['Ath Madrid-H'],['Ath Bilbao-A'],['Sevilla-H'],['Getafe-A'],['Mallorca-A'],['Elche-H'],['Valencia-H'],['Vallecano-A'],['Espanol-H'],['Girona-A'],['Celta-H'],['Barcelona-A'],['Sociedad-H'],['Real Madrid-H'],['Osasuna-A'],['Oviedo-H'],['Villarreal-A'],['Ath Madrid-A'],['Betis-H'],['Espanol-A'],['Getafe-H'],['Sevilla-A'],['Girona-H'],['Levante-A'],['Valencia-A'],['Villarreal-H'],['Celta-A'],['Osasuna-H'],['Sociedad-A'],['Mallorca-H'],['Real Madrid-A'],['Ath Bilbao-H'],['Elche-A'],['Barcelona-H'],['Oviedo-A'],['Vallecano-H']
Ath Bilbao,['Sevilla-H'],['Vallecano-H'],['Betis-A'],['Alaves-H'],['Valencia-A'],['Girona-H'],['Villarreal-A'],['Mallorca-H'],['Elche-A'],['Getafe-H'],['Sociedad-A'],['Oviedo-H'],['Barcelona-A'],['Levante-A'],['Ath Madrid-H'],['Celta-A'],['Espanol-H'],['Osasuna-A'],['Real Madrid-H'],['Mallorca-A'],['Sevilla-A'],['Sociedad-H'],['Levante-H'],['Oviedo-A'],['Elche-H'],['Vallecano-A'],['Barcelona-H'],['Girona-A'],['Betis-H'],['Getafe-A'],['Villarreal-H'],['Ath Madrid-A'],['Osasuna-H'],['Alaves-A'],['Valencia-H'],['Espanol-A'],['Celta-H'],['Real Madrid-A']
Ath Madrid,['Espanol-A'],['Elche-H'],['Alaves-A'],['Villarreal-H'],['Mallorca-A'],['Vallecano-H'],['Real Madrid-H'],['Celta-A'],['Osasuna-H'],['Betis-A'],['Sevilla-H'],['Levante-H'],['Getafe-A'],['Oviedo-H'],['Ath Bilbao-A'],['Valencia-H'],['Girona-A'],['Sociedad-A'],['Barcelona-A'],['Alaves-H'],['Mallorca-H'],['Levante-A'],['Betis-H'],['Vallecano-A'],['Espanol-H'],['Oviedo-A'],['Sociedad-H'],['Getafe-H'],['Real Madrid-A'],['Barcelona-H'],['Sevilla-A'],['Ath Bilbao-H'],['Elche-A'],['Valencia-A'],['Celta-H'],['Osasuna-A'],['Girona-H'],['Villarreal-A']
Barcelona,['Mallorca-A'],['Levante-A'],['Vallecano-A'],['Valencia-H'],['Getafe-H'],['Oviedo-A'],['Sociedad-H'],['Sevilla-A'],['Girona-H'],['Real Madrid-A'],['Elche-H'],['Celta-A'],['Ath Bilbao-H'],['Alaves-H'],['Betis-A'],['Osasuna-H'],['Villarreal-A'],['Espanol-A'],['Ath Madrid-H'],['Sociedad-A'],['Oviedo-H'],['Elche-A'],['Mallorca-H'],['Girona-A'],['Levante-H'],['Villarreal-H'],['Ath Bilbao-A'],['Sevilla-H'],['Vallecano-H'],['Ath Madrid-A'],['Espanol-H'],['Getafe-A'],['Celta-H'],['Osasuna-A'],['Real Madrid-H'],['Alaves-A'],['Betis-H'],['Valencia-A']
Betis,['Elche-A'],['Alaves-H'],['Ath Bilbao-H'],['Levante-A'],['Sociedad-H'],['Celta-A'],['Osasuna-H'],['Espanol-A'],['Villarreal-A'],['Ath Madrid-H'],['Mallorca-H'],['Valencia-A'],['Girona-H'],['Sevilla-A'],['Barcelona-H'],['Vallecano-A'],['Getafe-H'],['Real Madrid-A'],['Oviedo-A'],['Villarreal-H'],['Alaves-A'],['Valencia-H'],['Ath Madrid-A'],['Mallorca-A'],['Vallecano-H'],['Sevilla-H'],['Getafe-A'],['Celta-H'],['Ath Bilbao-A'],['Espanol-H'],['Osasuna-A'],['Real Madrid-H'],['Girona-A'],['Oviedo-H'],['Sociedad-A'],['Elche-H'],['Barcelona-A'],['Levante-H']
Celta,['Getafe-H'],['Mallorca-A'],['Villarreal-H'],['Girona-H'],['Vallecano-A'],['Betis-H'],['Elche-A'],['Ath Madrid-H'],['Sociedad-H'],['Osasuna-A'],['Levante-A'],['Barcelona-H'],['Alaves-A'],['Espanol-H'],['Real Madrid-A'],['Ath Bilbao-H'],['Oviedo-A'],['Valencia-H'],['Sevilla-A'],['Vallecano-H'],['Sociedad-A'],['Getafe-A'],['Osasuna-H'],['Espanol-A'],['Mallorca-H'],['Girona-A'],['Real Madrid-H'],['Betis-A'],['Alaves-H'],['Valencia-A'],['Oviedo-H'],['Villarreal-A'],['Barcelona-A'],['Elche-H'],['Ath Madrid-A'],['Levante-H'],['Ath Bilbao-A'],['Sevilla-H']
Elche,['Betis-H'],['Ath Madrid-A'],['Levante-H'],['Sevilla-A'],['Oviedo-H'],['Osasuna-A'],['Celta-H'],['Alaves-A'],['Ath Bilbao-H'],['Espanol-A'],['Barcelona-A'],['Sociedad-H'],['Real Madrid-H'],['Getafe-A'],['Girona-H'],['Mallorca-A'],['Vallecano-H'],['Villarreal-H'],['Valencia-A'],['Sevilla-H'],['Levante-A'],['Barcelona-H'],['Sociedad-A'],['Osasuna-H'],['Ath Bilbao-A'],['Espanol-H'],['Villarreal-A'],['Real Madrid-A'],['Mallorca-H'],['Vallecano-A'],['Valencia-H'],['Oviedo-A'],['Ath Madrid-H'],['Celta-A'],['Alaves-H'],['Betis-A'],['Getafe-H'],['Girona-A']
Espanol,['Ath Madrid-H'],['Sociedad-A'],['Osasuna-H'],['Mallorca-H'],['Real Madrid-A'],['Valencia-H'],['Girona-A'],['Betis-H'],['Oviedo-A'],['Elche-H'],['Alaves-A'],['Villarreal-H'],['Sevilla-H'],['Celta-A'],['Vallecano-H'],['Getafe-A'],['Ath Bilbao-A'],['Barcelona-H'],['Levante-A'],['Girona-H'],['Valencia-A'],['Alaves-H'],['Villarreal-A'],['Celta-H'],['Ath Madrid-A'],['Elche-A'],['Oviedo-H'],['Mallorca-A'],['Getafe-H'],['Betis-A'],['Barcelona-A'],['Levante-H'],['Vallecano-A'],['Real Madrid-H'],['Sevilla-A'],['Ath Bilbao-H'],['Osasuna-A'],['Sociedad-H']
Getafe,['Celta-A'],['Sevilla-A'],['Valencia-A'],['Oviedo-H'],['Barcelona-A'],['Alaves-H'],['Levante-H'],['Osasuna-A'],['Real Madrid-H'],['Ath Bilbao-A'],['Girona-H'],['Mallorca-A'],['Ath Madrid-H'],['Elche-H'],['Villarreal-A'],['Espanol-H'],['Betis-A'],['Vallecano-A'],['Sociedad-H'],['Valencia-H'],['Girona-A'],['Celta-H'],['Alaves-A'],['Villarreal-H'],['Sevilla-H'],['Real Madrid-A'],['Betis-H'],['Ath Madrid-A'],['Espanol-A'],['Ath Bilbao-H'],['Levante-A'],['Barcelona-H'],['Sociedad-A'],['Vallecano-H'],['Oviedo-A'],['Mallorca-H'],['Elche-A'],['Osasuna-H']
Girona,['Vallecano-H'],['Villarreal-A'],['Sevilla-H'],['Celta-A'],['Levante-H'],['Ath Bilbao-A'],['Espanol-H'],['Valencia-H'],['Barcelona-A'],['Oviedo-H'],['Getafe-A'],['Alaves-H'],['Betis-A'],['Real Madrid-H'],['Elche-A'],['Sociedad-A'],['Ath Madrid-H'],['Mallorca-A'],['Osasuna-H'],['Espanol-A'],['Getafe-H'],['Oviedo-A'],['Sevilla-A'],['Barcelona-H'],['Alaves-A'],['Celta-H'],['Levante-A'],['Ath Bilbao-H'],['Osasuna-A'],['Villarreal-H'],['Real Madrid-A'],['Valencia-A'],['Betis-H'],['Mallorca-H'],['Vallecano-A'],['Sociedad-H'],['Ath Madrid-A'],['Elche-H']
Levante,['Alaves-A'],['Barcelona-H'],['Elche-A'],['Betis-H'],['Girona-A'],['Real Madrid-H'],['Getafe-A'],['Oviedo-A'],['Vallecano-H'],['Mallorca-A'],['Celta-H'],['Ath Madrid-A'],['Valencia-A'],['Ath Bilbao-H'],['Osasuna-A'],['Villarreal-H'],['Sociedad-H'],['Sevilla-A'],['Espanol-H'],['Real Madrid-A'],['Elche-H'],['Ath Madrid-H'],['Ath Bilbao-A'],['Valencia-H'],['Barcelona-A'],['Alaves-H'],['Girona-H'],['Vallecano-A'],['Oviedo-H'],['Sociedad-A'],['Getafe-H'],['Espanol-A'],['Sevilla-H'],['Villarreal-A'],['Osasuna-H'],['Celta-A'],['Mallorca-H'],['Betis-A']
Mallorca,['Barcelona-H'],['Celta-H'],['Real Madrid-A'],['Espanol-A'],['Ath Madrid-H'],['Sociedad-A'],['Alaves-H'],['Ath Bilbao-A'],['Sevilla-A'],['Levante-H'],['Betis-A'],['Getafe-H'],['Villarreal-A'],['Osasuna-H'],['Oviedo-A'],['Elche-H'],['Valencia-A'],['Girona-H'],['Vallecano-A'],['Ath Bilbao-H'],['Ath Madrid-A'],['Sevilla-H'],['Barcelona-A'],['Betis-H'],['Celta-A'],['Sociedad-H'],['Osasuna-A'],['Espanol-H'],['Elche-A'],['Real Madrid-H'],['Vallecano-H'],['Alaves-A'],['Valencia-H'],['Girona-A'],['Villarreal-H'],['Getafe-A'],['Levante-A'],['Oviedo-H']
Osasuna,['Real Madrid-A'],['Valencia-H'],['Espanol-A'],['Vallecano-H'],['Villarreal-A'],['Elche-H'],['Betis-A'],['Getafe-H'],['Ath Madrid-A'],['Celta-H'],['Oviedo-A'],['Sevilla-A'],['Sociedad-H'],['Mallorca-A'],['Levante-H'],['Barcelona-A'],['Alaves-H'],['Ath Bilbao-H'],['Girona-A'],['Oviedo-H'],['Vallecano-A'],['Villarreal-H'],['Celta-A'],['Elche-A'],['Real Madrid-H'],['Valencia-A'],['Mallorca-H'],['Sociedad-A'],['Girona-H'],['Alaves-A'],['Betis-H'],['Sevilla-H'],['Ath Bilbao-A'],['Barcelona-H'],['Levante-A'],['Ath Madrid-H'],['Espanol-H'],['Getafe-A']
Oviedo,['Villarreal-A'],['Real Madrid-H'],['Sociedad-H'],['Getafe-A'],['Elche-A'],['Barcelona-H'],['Valencia-A'],['Levante-H'],['Espanol-H'],['Girona-A'],['Osasuna-H'],['Ath Bilbao-A'],['Vallecano-H'],['Ath Madrid-A'],['Mallorca-H'],['Sevilla-A'],['Celta-H'],['Alaves-A'],['Betis-H'],['Osasuna-A'],['Barcelona-A'],['Girona-H'],['Vallecano-A'],['Ath Bilbao-H'],['Sociedad-A'],['Ath Madrid-H'],['Espanol-A'],['Valencia-H'],['Levante-A'],['Sevilla-H'],['Celta-A'],['Elche-H'],['Villarreal-H'],['Betis-A'],['Getafe-H'],['Real Madrid-A'],['Alaves-H'],['Mallorca-A']
Real Madrid,['Osasuna-H'],['Oviedo-A'],['Mallorca-H'],['Sociedad-A'],['Espanol-H'],['Levante-A'],['Ath Madrid-A'],['Villarreal-H'],['Getafe-A'],['Barcelona-H'],['Valencia-H'],['Vallecano-A'],['Elche-A'],['Girona-A'],['Celta-H'],['Alaves-A'],['Sevilla-H'],['Betis-H'],['Ath Bilbao-A'],['Levante-H'],['Villarreal-A'],['Vallecano-H'],['Valencia-A'],['Sociedad-H'],['Osasuna-A'],['Getafe-H'],['Celta-A'],['Elche-H'],['Ath Madrid-H'],['Mallorca-A'],['Girona-H'],['Betis-A'],['Alaves-H'],['Espanol-A'],['Barcelona-A'],['Oviedo-H'],['Sevilla-A'],['Ath Bilbao-H']
Sevilla,['Ath Bilbao-A'],['Getafe-H'],['Girona-A'],['Elche-H'],['Alaves-A'],['Villarreal-H'],['Vallecano-A'],['Barcelona-H'],['Mallorca-H'],['Sociedad-A'],['Ath Madrid-A'],['Osasuna-H'],['Espanol-A'],['Betis-H'],['Valencia-A'],['Oviedo-H'],['Real Madrid-A'],['Levante-H'],['Celta-H'],['Elche-A'],['Ath Bilbao-H'],['Mallorca-A'],['Girona-H'],['Alaves-H'],['Getafe-A'],['Betis-A'],['Vallecano-H'],['Barcelona-A'],['Valencia-H'],['Oviedo-A'],['Ath Madrid-H'],['Osasuna-A'],['Levante-A'],['Sociedad-H'],['Espanol-H'],['Villarreal-A'],['Real Madrid-H'],['Celta-A']
Sociedad,['Valencia-A'],['Espanol-H'],['Oviedo-A'],['Real Madrid-H'],['Betis-A'],['Mallorca-H'],['Barcelona-A'],['Vallecano-H'],['Celta-A'],['Sevilla-H'],['Ath Bilbao-H'],['Elche-A'],['Osasuna-A'],['Villarreal-H'],['Alaves-A'],['Girona-H'],['Levante-A'],['Ath Madrid-H'],['Getafe-A'],['Barcelona-H'],['Celta-H'],['Ath Bilbao-A'],['Elche-H'],['Real Madrid-A'],['Oviedo-H'],['Mallorca-A'],['Ath Madrid-A'],['Osasuna-H'],['Villarreal-A'],['Levante-H'],['Alaves-H'],['Vallecano-A'],['Getafe-H'],['Sevilla-A'],['Betis-H'],['Girona-A'],['Valencia-H'],['Espanol-A']
Valencia,['Sociedad-H'],['Osasuna-A'],['Getafe-H'],['Barcelona-A'],['Ath Bilbao-H'],['Espanol-A'],['Oviedo-H'],['Girona-A'],['Alaves-A'],['Villarreal-H'],['Real Madrid-A'],['Betis-H'],['Levante-H'],['Vallecano-A'],['Sevilla-H'],['Ath Madrid-A'],['Mallorca-H'],['Celta-A'],['Elche-H'],['Getafe-A'],['Espanol-H'],['Betis-A'],['Real Madrid-H'],['Levante-A'],['Villarreal-A'],['Osasuna-H'],['Alaves-H'],['Oviedo-A'],['Sevilla-A'],['Celta-H'],['Elche-A'],['Girona-H'],['Mallorca-A'],['Ath Madrid-H'],['Ath Bilbao-A'],['Vallecano-H'],['Sociedad-A'],['Barcelona-H']
Vallecano,['Girona-A'],['Ath Bilbao-A'],['Barcelona-H'],['Osasuna-A'],['Celta-H'],['Ath Madrid-A'],['Sevilla-H'],['Sociedad-A'],['Levante-A'],['Alaves-H'],['Villarreal-A'],['Real Madrid-H'],['Oviedo-A'],['Valencia-H'],['Espanol-A'],['Betis-H'],['Elche-A'],['Getafe-H'],['Mallorca-H'],['Celta-A'],['Osasuna-H'],['Real Madrid-A'],['Oviedo-H'],['Ath Madrid-H'],['Betis-A'],['Ath Bilbao-H'],['Sevilla-A'],['Levante-H'],['Barcelona-A'],['Elche-H'],['Mallorca-A'],['Sociedad-H'],['Espanol-H'],['Getafe-A'],['Girona-H'],['Valencia-A'],['Villarreal-H'],['Alaves-A']
