team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Augsburg,['Freiburg-A'],['Bayern Munich-H'],['St Pauli-A'],['Mainz-H'],['Heidenheim-A'],['Wolfsburg-H'],['FC Koln-A'],['RB Leipzig-H'],['Dortmund-H'],['Stuttgart-A'],['Hamburg-H'],['Hoffenheim-A'],['Leverkusen-H'],['Ein Frankfurt-A'],['Werder Bremen-H'],"[""M'gladbach-A""]",['Union Berlin-H'],['Freiburg-H'],['Bayern Munich-A'],['St Pauli-H'],['Mainz-A'],['Heidenheim-H'],['Wolfsburg-A'],['FC Koln-H'],['RB Leipzig-A'],['Dortmund-A'],['Stuttgart-H'],['Hamburg-A'],['Hoffenheim-H'],['Leverkusen-A'],['Ein Frankfurt-H'],['Werder Bremen-A'],"[""M'gladbach-H""]",['Union Berlin-A']
Bayern Munich,['RB Leipzig-H'],['Augsburg-A'],['Hamburg-H'],['Hoffenheim-A'],['Werder Bremen-H'],['Ein Frankfurt-A'],['Dortmund-H'],"[""M'gladbach-A""]",['Leverkusen-H'],['Union Berlin-A'],['Freiburg-H'],['St Pauli-H'],['Stuttgart-A'],['Mainz-H'],['Heidenheim-A'],['Wolfsburg-H'],['FC Koln-A'],['RB Leipzig-A'],['Augsburg-H'],['Hamburg-A'],['Hoffenheim-H'],['Werder Bremen-A'],['Ein Frankfurt-H'],['Dortmund-A'],"[""M'gladbach-H""]",['Leverkusen-A'],['Union Berlin-H'],['Freiburg-A'],['St Pauli-A'],['Stuttgart-H'],['Mainz-A'],['Heidenheim-H'],['Wolfsburg-A'],['FC Koln-H']
Dortmund,['St Pauli-A'],['Union Berlin-H'],['Heidenheim-A'],['Wolfsburg-H'],['Mainz-A'],['RB Leipzig-H'],['Bayern Munich-A'],['FC Koln-H'],['Augsburg-A'],['Hamburg-A'],['Stuttgart-H'],['Leverkusen-A'],['Hoffenheim-H'],['Freiburg-A'],"[""M'gladbach-H""]",['Ein Frankfurt-A'],['Werder Bremen-H'],['St Pauli-H'],['Union Berlin-A'],['Heidenheim-H'],['Wolfsburg-A'],['Mainz-H'],['RB Leipzig-A'],['Bayern Munich-H'],['FC Koln-A'],['Augsburg-H'],['Hamburg-H'],['Stuttgart-A'],['Leverkusen-H'],['Hoffenheim-A'],['Freiburg-H'],"[""M'gladbach-A""]",['Ein Frankfurt-H'],['Werder Bremen-A']
Ein Frankfurt,['Werder Bremen-H'],['Hoffenheim-A'],['Leverkusen-A'],['Union Berlin-H'],"[""M'gladbach-A""]",['Bayern Munich-H'],['Freiburg-A'],['St Pauli-H'],['Heidenheim-A'],['Mainz-H'],['FC Koln-A'],['Wolfsburg-H'],['RB Leipzig-A'],['Augsburg-H'],['Hamburg-A'],['Dortmund-H'],['Stuttgart-A'],['Werder Bremen-A'],['Hoffenheim-H'],['Leverkusen-H'],['Union Berlin-A'],"[""M'gladbach-H""]",['Bayern Munich-A'],['Freiburg-H'],['St Pauli-A'],['Heidenheim-H'],['Mainz-A'],['FC Koln-H'],['Wolfsburg-A'],['RB Leipzig-H'],['Augsburg-A'],['Hamburg-H'],['Dortmund-A'],['Stuttgart-H']
FC Koln,['Mainz-A'],['Freiburg-H'],['Wolfsburg-A'],['RB Leipzig-A'],['Stuttgart-H'],['Hoffenheim-A'],['Augsburg-H'],['Dortmund-A'],['Hamburg-H'],"[""M'gladbach-A""]",['Ein Frankfurt-H'],['Werder Bremen-A'],['St Pauli-H'],['Leverkusen-A'],['Union Berlin-H'],['Heidenheim-A'],['Bayern Munich-H'],['Mainz-H'],['Freiburg-A'],['Wolfsburg-H'],['RB Leipzig-H'],['Stuttgart-A'],['Hoffenheim-H'],['Augsburg-A'],['Dortmund-H'],['Hamburg-A'],"[""M'gladbach-H""]",['Ein Frankfurt-A'],['Werder Bremen-H'],['St Pauli-A'],['Leverkusen-H'],['Union Berlin-A'],['Heidenheim-H'],['Bayern Munich-A']
Freiburg,['Augsburg-H'],['FC Koln-A'],['Stuttgart-H'],['Werder Bremen-A'],['Hoffenheim-H'],"[""M'gladbach-A""]",['Ein Frankfurt-H'],['Leverkusen-A'],['Union Berlin-A'],['St Pauli-H'],['Bayern Munich-A'],['Mainz-H'],['Heidenheim-A'],['Dortmund-H'],['Wolfsburg-A'],['Hamburg-H'],['RB Leipzig-A'],['Augsburg-A'],['FC Koln-H'],['Stuttgart-A'],['Werder Bremen-H'],['Hoffenheim-A'],"[""M'gladbach-H""]",['Ein Frankfurt-A'],['Leverkusen-H'],['Union Berlin-H'],['St Pauli-A'],['Bayern Munich-H'],['Mainz-A'],['Heidenheim-H'],['Dortmund-A'],['Wolfsburg-H'],['Hamburg-A'],['RB Leipzig-H']
Hamburg,"[""M'gladbach-A""]",['St Pauli-H'],['Bayern Munich-A'],['Heidenheim-H'],['Union Berlin-A'],['Mainz-H'],['RB Leipzig-A'],['Wolfsburg-H'],['FC Koln-A'],['Dortmund-H'],['Augsburg-A'],['Stuttgart-H'],['Werder Bremen-H'],['Hoffenheim-A'],['Ein Frankfurt-H'],['Freiburg-A'],['Leverkusen-H'],"[""M'gladbach-H""]",['St Pauli-A'],['Bayern Munich-H'],['Heidenheim-A'],['Union Berlin-H'],['Mainz-A'],['RB Leipzig-H'],['Wolfsburg-A'],['FC Koln-H'],['Dortmund-A'],['Augsburg-H'],['Stuttgart-A'],['Werder Bremen-A'],['Hoffenheim-H'],['Ein Frankfurt-A'],['Freiburg-H'],['Leverkusen-A']
Heidenheim,['Wolfsburg-H'],['RB Leipzig-A'],['Dortmund-H'],['Hamburg-A'],['Augsburg-H'],['Stuttgart-A'],['Werder Bremen-H'],['Hoffenheim-A'],['Ein Frankfurt-H'],['Leverkusen-A'],"[""M'gladbach-H""]",['Union Berlin-A'],['Freiburg-H'],['St Pauli-A'],['Bayern Munich-H'],['FC Koln-H'],['Mainz-A'],['Wolfsburg-A'],['RB Leipzig-H'],['Dortmund-A'],['Hamburg-H'],['Augsburg-A'],['Stuttgart-H'],['Werder Bremen-A'],['Hoffenheim-H'],['Ein Frankfurt-A'],['Leverkusen-H'],"[""M'gladbach-A""]",['Union Berlin-H'],['Freiburg-A'],['St Pauli-H'],['Bayern Munich-A'],['FC Koln-A'],['Mainz-H']
Hoffenheim,['Leverkusen-A'],['Ein Frankfurt-H'],['Union Berlin-A'],['Bayern Munich-H'],['Freiburg-A'],['FC Koln-H'],['St Pauli-A'],['Heidenheim-H'],['Wolfsburg-A'],['RB Leipzig-H'],['Mainz-A'],['Augsburg-H'],['Dortmund-A'],['Hamburg-H'],['Stuttgart-A'],['Werder Bremen-A'],"[""M'gladbach-H""]",['Leverkusen-H'],['Ein Frankfurt-A'],['Union Berlin-H'],['Bayern Munich-A'],['Freiburg-H'],['FC Koln-A'],['St Pauli-H'],['Heidenheim-A'],['Wolfsburg-H'],['RB Leipzig-A'],['Mainz-H'],['Augsburg-A'],['Dortmund-H'],['Hamburg-A'],['Stuttgart-H'],['Werder Bremen-H'],"[""M'gladbach-A""]"
Leverkusen,['Hoffenheim-H'],['Werder Bremen-A'],['Ein Frankfurt-H'],"[""M'gladbach-H""]",['St Pauli-A'],['Union Berlin-H'],['Mainz-A'],['Freiburg-H'],['Bayern Munich-A'],['Heidenheim-H'],['Wolfsburg-A'],['Dortmund-H'],['Augsburg-A'],['FC Koln-H'],['RB Leipzig-A'],['Stuttgart-H'],['Hamburg-A'],['Hoffenheim-A'],['Werder Bremen-H'],['Ein Frankfurt-A'],"[""M'gladbach-A""]",['St Pauli-H'],['Union Berlin-A'],['Mainz-H'],['Freiburg-A'],['Bayern Munich-H'],['Heidenheim-A'],['Wolfsburg-H'],['Dortmund-A'],['Augsburg-H'],['FC Koln-A'],['RB Leipzig-H'],['Stuttgart-A'],['Hamburg-H']
