team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Arsenal,['Man United-A'],['Leeds-H'],['Liverpool-A'],"[""Nott'm Forest-H""]",['Man City-H'],['Newcastle-A'],['West Ham-H'],['Fulham-A'],['Crystal Palace-H'],['Burnley-A'],['Sunderland-A'],['Tottenham-H'],['Chelsea-A'],['Brentford-H'],['Aston Villa-A'],['Wolves-H'],['Everton-A'],['Brighton-H'],['Aston Villa-H'],['Bournemouth-A'],['Liverpool-H'],"[""Nott'm Forest-A""]",['Man United-H'],['Leeds-A'],['Sunderland-H'],"['Brentford-A', 'Wolves-A']",['Tottenham-A'],['Chelsea-H'],['Brighton-A'],['Everton-H'],,['Bournemouth-H'],['Man City-A'],['Newcastle-H'],['Fulham-H'],['West Ham-A'],['Burnley-H'],['Crystal Palace-A']
Aston Villa,['Newcastle-H'],['Brentford-A'],['Crystal Palace-H'],['Everton-A'],['Sunderland-A'],['Fulham-H'],['Burnley-H'],['Tottenham-A'],['Man City-H'],['Liverpool-A'],['Bournemouth-H'],['Leeds-A'],['Wolves-H'],['Brighton-A'],['Arsenal-H'],['West Ham-A'],['Man United-H'],['Chelsea-A'],['Arsenal-A'],"[""Nott'm Forest-H""]",['Crystal Palace-A'],['Everton-H'],['Newcastle-A'],['Brentford-H'],['Bournemouth-A'],['Brighton-H'],['Leeds-H'],['Wolves-A'],['Chelsea-H'],['Man United-A'],['West Ham-H'],"[""Nott'm Forest-A""]",['Sunderland-H'],['Fulham-A'],['Tottenham-H'],['Burnley-A'],['Liverpool-H'],['Man City-A']
Bournemouth,['Liverpool-A'],['Wolves-H'],['Tottenham-A'],['Brighton-H'],['Newcastle-H'],['Leeds-A'],['Fulham-H'],['Crystal Palace-A'],"[""Nott'm Forest-H""]",['Man City-A'],['Aston Villa-A'],['West Ham-H'],['Sunderland-A'],['Everton-H'],['Chelsea-H'],['Man United-A'],['Burnley-H'],['Brentford-A'],['Chelsea-A'],['Arsenal-H'],['Tottenham-H'],['Brighton-A'],['Liverpool-H'],['Wolves-A'],['Aston Villa-H'],['Everton-A'],['West Ham-A'],['Sunderland-H'],['Brentford-H'],['Burnley-A'],['Man United-H'],['Arsenal-A'],['Newcastle-A'],['Leeds-H'],['Crystal Palace-H'],['Fulham-A'],['Man City-H'],"[""Nott'm Forest-A""]"
Brentford,"[""Nott'm Forest-A""]",['Aston Villa-H'],['Sunderland-A'],['Chelsea-H'],['Fulham-A'],['Man United-H'],['Man City-H'],['West Ham-A'],['Liverpool-H'],['Crystal Palace-A'],['Newcastle-H'],['Brighton-A'],['Burnley-H'],['Arsenal-A'],['Tottenham-A'],['Leeds-H'],['Wolves-A'],['Bournemouth-H'],['Tottenham-H'],['Everton-A'],['Sunderland-H'],['Chelsea-A'],"[""Nott'm Forest-H""]",['Aston Villa-A'],['Newcastle-A'],['Arsenal-H'],['Brighton-H'],['Burnley-A'],['Bournemouth-A'],['Wolves-H'],['Leeds-A'],['Everton-H'],['Fulham-H'],['Man United-A'],['West Ham-H'],['Man City-A'],['Crystal Palace-H'],['Liverpool-A']
Brighton,['Fulham-H'],['Everton-A'],['Man City-H'],['Bournemouth-A'],['Tottenham-H'],['Chelsea-A'],['Wolves-A'],['Newcastle-H'],['Man United-A'],['Leeds-H'],['Crystal Palace-A'],['Brentford-H'],"[""Nott'm Forest-A""]",['Aston Villa-H'],['West Ham-H'],['Liverpool-A'],['Sunderland-H'],['Arsenal-A'],['West Ham-A'],['Burnley-H'],['Man City-A'],['Bournemouth-H'],['Fulham-A'],['Everton-H'],['Crystal Palace-H'],['Aston Villa-A'],['Brentford-A'],"[""Nott'm Forest-H""]",['Arsenal-H'],['Sunderland-A'],['Liverpool-H'],['Burnley-A'],['Tottenham-A'],['Chelsea-H'],['Newcastle-A'],['Wolves-H'],['Leeds-A'],['Man United-H']
Burnley,['Tottenham-A'],['Sunderland-H'],['Man United-A'],['Liverpool-H'],"[""Nott'm Forest-H""]",['Man City-A'],['Aston Villa-A'],['Leeds-H'],['Wolves-A'],['Arsenal-H'],['West Ham-A'],['Chelsea-H'],['Brentford-A'],['Crystal Palace-H'],['Newcastle-A'],['Fulham-H'],['Bournemouth-A'],['Everton-H'],['Newcastle-H'],['Brighton-A'],['Man United-H'],['Liverpool-A'],['Tottenham-H'],['Sunderland-A'],['West Ham-H'],['Crystal Palace-A'],['Chelsea-A'],['Brentford-H'],['Everton-A'],['Bournemouth-H'],['Fulham-A'],['Brighton-H'],"[""Nott'm Forest-A""]",['Man City-H'],['Leeds-A'],['Aston Villa-H'],['Arsenal-A'],['Wolves-H']
Chelsea,['Crystal Palace-H'],['West Ham-A'],['Fulham-H'],['Brentford-A'],['Man United-A'],['Brighton-H'],['Liverpool-H'],"[""Nott'm Forest-A""]",['Sunderland-H'],['Tottenham-A'],['Wolves-H'],['Burnley-A'],['Arsenal-H'],['Leeds-A'],['Bournemouth-A'],['Everton-H'],['Newcastle-A'],['Aston Villa-H'],['Bournemouth-H'],['Man City-A'],['Fulham-A'],['Brentford-H'],['Crystal Palace-A'],['West Ham-H'],['Wolves-A'],['Leeds-H'],['Burnley-H'],['Arsenal-A'],['Aston Villa-A'],['Newcastle-H'],['Everton-A'],['Man City-H'],['Man United-H'],['Brighton-A'],"[""Nott'm Forest-H""]",['Liverpool-A'],['Tottenham-H'],['Sunderland-A']
Crystal Palace,['Chelsea-A'],"[""Nott'm Forest-H""]",['Aston Villa-A'],['Sunderland-H'],['West Ham-A'],['Liverpool-H'],['Everton-A'],['Bournemouth-H'],['Arsenal-A'],['Brentford-H'],['Brighton-H'],['Wolves-A'],['Man United-H'],['Burnley-A'],['Fulham-A'],['Man City-H'],['Leeds-A'],['Tottenham-H'],['Fulham-H'],['Newcastle-A'],['Aston Villa-H'],['Sunderland-A'],['Chelsea-H'],"[""Nott'm Forest-A""]",['Brighton-A'],['Burnley-H'],['Wolves-H'],['Man United-A'],['Tottenham-A'],['Leeds-H'],,['Newcastle-H'],['West Ham-H'],['Liverpool-A'],['Bournemouth-A'],['Everton-H'],['Brentford-A'],['Arsenal-H']
Everton,['Leeds-A'],['Brighton-H'],['Wolves-A'],['Aston Villa-H'],['Liverpool-A'],['West Ham-H'],['Crystal Palace-H'],['Man City-A'],['Tottenham-H'],['Sunderland-A'],['Fulham-H'],['Man United-A'],['Newcastle-H'],['Bournemouth-A'],"[""Nott'm Forest-H""]",['Chelsea-A'],['Arsenal-H'],['Burnley-A'],"[""Nott'm Forest-A""]",['Brentford-H'],['Wolves-H'],['Aston Villa-A'],['Leeds-H'],['Brighton-A'],['Fulham-A'],['Bournemouth-H'],['Man United-H'],['Newcastle-A'],['Burnley-H'],['Arsenal-A'],['Chelsea-H'],['Brentford-A'],['Liverpool-H'],['West Ham-A'],['Man City-H'],['Crystal Palace-A'],['Sunderland-H'],['Tottenham-A']
Fulham,['Brighton-A'],['Man United-H'],['Chelsea-A'],['Leeds-H'],['Brentford-H'],['Aston Villa-A'],['Bournemouth-A'],['Arsenal-H'],['Newcastle-A'],['Wolves-H'],['Everton-A'],['Sunderland-H'],['Tottenham-A'],['Man City-H'],['Crystal Palace-H'],['Burnley-A'],"[""Nott'm Forest-H""]",['West Ham-A'],['Crystal Palace-A'],['Liverpool-H'],['Chelsea-H'],['Leeds-A'],['Brighton-H'],['Man United-A'],['Everton-H'],['Man City-A'],['Sunderland-A'],['Tottenham-H'],['West Ham-H'],"[""Nott'm Forest-A""]",['Burnley-H'],['Liverpool-A'],['Brentford-A'],['Aston Villa-H'],['Arsenal-A'],['Bournemouth-H'],['Wolves-A'],['Newcastle-H']
