team,team_Oi,team_Di,opponents_Oi,opponents_Di,expected_gf,expected_ga,opponents
Manchester Utd,7.65,4.85,3.48,5.69,8.7,3.38,"Nott'ham Forest(A), Tottenham(A), Everton(H), Crystal Palace(A), West Ham(H)"
Aston Villa,6.25,2.8,5.55,5.97,7.47,3.11,"Liverpool(A), Bournemouth(H), Leeds United(A), Wolves(H), Brighton(A)"
Brighton,6.95,6.25,4.86,5.0,6.95,6.08,"Leeds United(H), Crystal Palace(A), Brentford(H), Nott'ham Forest(A), Aston Villa(H)"
Manchester City,6.25,2.1,5.13,5.41,6.77,2.16,"Bournemouth(H), Liverpool(H), Newcastle Utd(A), Leeds United(H), Fulham(A)"
Crystal Palace,5.55,5.55,5.97,5.97,6.63,6.63,"Brentford(H), Brighton(H), Wolves(A), Manchester Utd(H), Burnley(A)"
Brentford,6.25,4.85,5.41,4.72,5.9,5.26,"Crystal Palace(A), Newcastle Utd(H), Brighton(A), Burnley(H), Arsenal(A)"
Bournemouth,6.95,4.15,4.31,4.04,5.62,3.58,"Manchester City(A), Aston Villa(A), West Ham(H), Sunderland(A), Everton(H)"
Tottenham,6.25,4.15,5.27,4.44,5.55,4.38,"Chelsea(H), Manchester Utd(H), Arsenal(A), Fulham(H), Newcastle Utd(A)"
Chelsea,5.55,5.55,5.13,5.0,5.54,5.7,"Tottenham(A), Wolves(H), Burnley(A), Arsenal(H), Leeds United(A)"
Burnley,5.55,6.95,4.86,4.72,5.24,6.75,"Arsenal(H), West Ham(A), Chelsea(H), Brentford(A), Crystal Palace(H)"
Leeds United,5.55,5.55,5.14,4.59,5.1,5.71,"Brighton(A), Nott'ham Forest(A), Aston Villa(H), Manchester City(A), Chelsea(H)"
Arsenal,4.85,1.4,5.55,4.86,4.72,1.55,"Burnley(A), Sunderland(A), Tottenham(H), Chelsea(A), Brentford(H)"
Sunderland,4.15,2.8,4.72,5.14,4.26,2.63,"Everton(H), Arsenal(H), Fulham(A), Bournemouth(H), Liverpool(A)"
Newcastle Utd,4.15,3.45,4.73,4.72,3.93,3.26,"West Ham(A), Brentford(A), Manchester City(H), Everton(A), Tottenham(H)"
Liverpool,4.85,6.95,3.89,4.04,3.91,5.4,"Aston Villa(H), Manchester City(A), Nott'ham Forest(H), West Ham(A), Sunderland(H)"
Wolves,3.45,6.95,4.44,5.42,3.75,6.16,"Fulham(A), Chelsea(A), Crystal Palace(H), Aston Villa(A), Nott'ham Forest(H)"
Fulham,4.15,6.95,4.58,4.45,3.69,6.37,"Wolves(H), Everton(A), Sunderland(H), Tottenham(A), Manchester City(H)"
Everton,2.8,6.25,5.41,4.44,2.48,6.77,"Sunderland(A), Fulham(H), Manchester Utd(A), Newcastle Utd(H), Bournemouth(A)"
West Ham,2.1,6.25,5.83,5.27,2.21,7.29,"Newcastle Utd(H), Burnley(H), Bournemouth(A), Liverpool(H), Manchester Utd(A)"
Nott'ham Forest,0.7,6.25,5.69,6.11,0.86,7.11,"Manchester Utd(H), Leeds United(H), Liverpool(A), Brighton(H), Wolves(A)"
