Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
324,Iwobi,MID,Fulham,6.3,79,10,12.54,21,3,3,1.16,3.33,4.49,34,28.71,3,126,0,10,2,2,0.51,1.91,2.42,13,12.41,11,1,1,0.65,1.42,2.07,21,16.3
54,McGinn,MID,Aston Villa,5.4,71,4,13.15,22,3,2,2.52,1.96,4.48,21,26.58,7,126,0,11,3,2,1.4,1.15,2.55,6,10.64,11,0,0,1.12,0.81,1.93,15,15.94
325,Smith Rowe,MID,Fulham,5.6,61,1,10.89,27,3,1,3.52,0.93,4.45,21,23.95,3,107,0,13,2,1,1.93,0.5,2.43,10,11.34,14,1,0,1.59,0.43,2.02,11,12.61
22,Merino,MID,Arsenal,5.4,66,5,12.22,21,4,3,2.99,1.45,4.44,9,6.59,4,111,0,10,2,2,1.65,0.79,2.44,5,3.07,11,2,1,1.34,0.66,2.0,4,3.52
26,Zubimendi,MID,Arsenal,5.3,109,9,20.57,28,5,1,2.56,1.86,4.42,19,18.21,13,239,0,13,4,0,1.76,0.64,2.4,6,7.09,15,1,1,0.8,1.22,2.02,13,11.12
508,N.Williams,DEF,Nott'ham Forest,4.7,83,9,17.66,26,1,1,1.54,2.88,4.42,36,35.7,6,180,0,14,0,0,1.0,2.33,3.33,19,18.23,12,1,1,0.54,0.55,1.09,17,17.47
53,Malen,MID,Aston Villa,5.1,55,3,10.78,21,4,2,4.03,0.35,4.38,10,10.59,1,16,0,10,3,0,1.96,0.09,2.05,4,4.21,11,1,2,2.07,0.26,2.33,6,6.38
224,Cucurella,DEF,Chelsea,6.1,90,5,14.75,24,1,3,1.64,2.73,4.37,21,27.63,9,140,0,12,1,1,1.11,1.44,2.55,8,12.57,12,0,2,0.53,1.29,1.82,13,15.06
720,Tolu,FWD,Wolves,5.4,49,4,9.07,24,2,1,4.04,0.32,4.36,24,19.16,3,64,0,12,1,0,1.8,0.1,1.9,13,9.06,12,1,1,2.24,0.22,2.46,11,10.1
654,Strand Larsen,FWD,Crystal Palace,6.2,55,3,8.87,25,3,1,3.8,0.54,4.34,29,25.04,5,68,0,13,3,0,2.89,0.35,3.24,19,14.87,12,0,1,0.91,0.19,1.1,10,10.17
582,Kudus,MID,Tottenham,6.4,75,7,11.72,19,2,6,1.92,2.41,4.33,20,22.74,7,133,0,9,1,2,0.64,1.25,1.89,8,8.58,10,1,4,1.28,1.16,2.44,12,14.16
19,Martinelli,MID,Arsenal,6.8,41,1,6.03,22,1,3,3.42,0.9,4.32,5,6.65,2,57,0,9,1,1,1.14,0.39,1.53,0,1.59,13,0,2,2.28,0.51,2.79,5,5.06
215,Flemming,FWD,Burnley,5.3,56,6,10.57,19,6,0,4.07,0.18,4.25,16,19.06,2,49,0,9,0,0,0.95,0.07,1.02,6,6.53,10,6,0,3.12,0.11,3.23,10,12.53
50,Buendía,MID,Aston Villa,5.3,76,8,14.34,25,5,2,2.71,1.46,4.17,12,18.83,3,136,0,13,3,2,1.84,1.0,2.84,7,6.62,12,2,0,0.87,0.46,1.33,5,12.21
158,Georginio,MID,Brighton,5.6,65,2,11.61,23,2,4,2.05,2.06,4.11,16,19.19,6,101,0,12,2,3,1.26,1.12,2.38,4,7.96,11,0,1,0.79,0.94,1.73,12,11.23
727,Chukwueze,MID,Fulham,5.3,47,1,8.87,13,3,4,1.56,2.55,4.11,15,10.97,1,51,0,6,3,1,1.2,0.88,2.08,3,3.63,7,0,3,0.36,1.67,2.03,12,7.34
