Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
224,Cucurella,DEF,Chelsea,6.1,16,0,2.62,4,1,1,1.06,0.68,1.74,2,3.45,0,25,0,0,2,1,0.81,0.12,0.93,0,0.62,2,0,1,0.25,0.56,0.81,2,2.83
90,Scott,MID,Bournemouth,5.0,29,3,5.8,5,1,1,1.26,0.47,1.73,4,8.96,2,63,0,1,2,0,0.3,0.36,0.66,3,1.37,3,1,0,0.96,0.11,1.07,1,7.59
303,Garner,MID,Everton,5.2,14,1,2.69,5,0,0,0.22,1.5,1.72,6,7.25,0,59,0,0,3,0,0.19,0.87,1.06,4,3.84,2,0,0,0.03,0.63,0.66,2,3.41
329,Wilson,MID,Fulham,5.9,24,4,4.07,5,1,1,0.52,1.16,1.68,10,8.48,0,30,0,0,2,1,0.26,0.63,0.89,3,3.47,3,0,1,0.26,0.53,0.79,7,5.01
671,Wilson,FWD,West Ham,5.8,5,0,0.86,5,0,0,1.53,0.14,1.67,2,2.8,0,5,0,0,3,0,1.53,0.14,1.67,1,0.76,2,0,0,0.0,0.0,0.0,1,2.04
178,Welbeck,FWD,Brighton,6.1,16,3,2.62,5,1,0,1.57,0.08,1.65,1,3.92,3,16,0,0,2,0,0.55,0.04,0.59,0,0.79,3,1,0,1.02,0.04,1.06,1,3.13
324,Iwobi,MID,Fulham,6.3,23,5,3.65,5,1,1,0.4,1.24,1.64,10,8.35,0,27,0,0,2,0,0.03,0.54,0.57,3,3.47,3,1,1,0.37,0.7,1.07,7,4.88
807,Rayan,MID,Bournemouth,5.6,22,2,3.93,4,2,1,0.8,0.81,1.61,2,7.45,1,14,0,0,1,1,0.16,0.02,0.18,1,0.44,3,1,1,0.64,0.79,1.43,1,7.01
783,Groß,MID,Brighton,5.5,21,3,3.82,5,1,0,0.49,1.07,1.56,3,5.07,2,39,0,0,2,1,0.25,0.37,0.62,1,1.73,3,0,0,0.24,0.7,0.94,2,3.34
416,Bernardo,MID,Manchester City,6.2,19,1,3.06,5,1,2,0.55,1.01,1.56,4,4.3,1,46,0,1,3,0,0.0,0.15,0.15,1,2.04,2,1,1,0.55,0.86,1.41,3,2.26
19,Martinelli,MID,Arsenal,6.8,12,0,1.76,5,0,2,0.85,0.67,1.52,2,1.09,0,23,0,1,1,0,0.04,0.26,0.3,0,0.02,4,0,1,0.81,0.41,1.22,2,1.07
698,Okafor,MID,Leeds United,5.5,15,0,2.73,4,2,0,1.38,0.1,1.48,3,5.6,1,12,0,0,2,1,0.77,0.08,0.85,2,3.07,2,1,0,0.61,0.02,0.63,1,2.53
256,Muñoz,DEF,Crystal Palace,5.9,18,1,3.05,5,0,0,0.16,1.3,1.46,7,5.57,2,34,0,0,3,0,0.11,0.93,1.04,6,4.23,2,0,0,0.05,0.37,0.42,1,1.34
488,Bruno G.,MID,Newcastle Utd,6.9,14,1,2.03,2,1,1,0.79,0.67,1.46,4,3.33,0,22,0,1,1,1,0.79,0.27,1.06,3,1.79,1,0,0,0.0,0.4,0.4,1,1.54
242,Dewsbury-Hall,MID,Everton,5.0,22,3,4.4,5,1,1,0.84,0.59,1.43,5,6.16,0,30,0,0,3,0,0.22,0.22,0.44,3,2.78,2,1,1,0.62,0.37,0.99,2,3.38
47,Rogers,MID,Aston Villa,7.7,24,3,3.12,5,1,1,0.69,0.72,1.41,3,6.47,2,39,0,0,3,0,0.48,0.56,1.04,2,2.23,2,1,1,0.21,0.16,0.37,1,4.24
791,Taty,FWD,West Ham,5.5,16,0,2.91,5,1,1,0.97,0.42,1.39,3,4.54,3,26,0,1,3,0,0.51,0.25,0.76,1,1.45,2,1,0,0.46,0.17,0.63,2,3.09
517,Anderson,MID,Nott'ham Forest,5.4,26,3,4.81,5,0,0,0.47,0.91,1.38,4,7.16,3,79,0,0,3,0,0.45,0.66,1.11,1,2.85,2,0,0,0.02,0.25,0.27,3,4.31
16,Saka,MID,Arsenal,9.8,18,3,1.84,3,1,1,1.13,0.25,1.38,3,1.49,0,27,0,0,0,0,0.0,0.0,0.0,0,0.0,3,1,1,1.13,0.25,1.38,3,1.49
21,Rice,MID,Arsenal,7.6,26,3,3.42,5,0,1,0.06,1.29,1.35,4,2.9,2,65,0,0,1,0,0.03,0.16,0.19,0,0.19,4,0,1,0.03,1.13,1.16,4,2.71
457,Casemiro,MID,Manchester Utd,5.6,25,3,4.46,5,1,1,0.43,0.91,1.34,3,4.25,3,51,0,1,2,1,0.42,0.55,0.97,0,1.33,3,0,0,0.01,0.36,0.37,3,2.92
749,Mané,FWD,Wolves,4.6,10,0,2.17,5,0,0,0.5,0.84,1.34,8,11.21,1,45,0,0,3,0,0.31,0.56,0.87,7,6.66,2,0,0,0.19,0.28,0.47,1,4.55
487,Barnes,MID,Newcastle Utd,6.1,8,0,1.31,5,0,0,1.21,0.13,1.34,9,7.38,0,18,0,0,2,0,0.91,0.06,0.97,5,2.95,3,0,0,0.3,0.07,0.37,4,4.43
516,Hudson-Odoi,MID,Nott'ham Forest,5.7,12,0,2.11,5,0,0,0.8,0.53,1.33,4,6.6,3,26,0,0,3,0,0.69,0.45,1.14,1,2.43,2,0,0,0.11,0.08,0.19,3,4.17
681,Šeško,FWD,Manchester Utd,7.2,24,7,3.33,5,3,0,1.32,0.0,1.32,3,2.54,0,7,0,0,2,1,0.79,0.0,0.79,2,1.11,3,2,0,0.53,0.0,0.53,1,1.43
547,E.Le Fée,MID,Sunderland,4.9,21,1,4.29,5,1,0,0.85,0.44,1.29,10,7.48,1,60,0,0,3,1,0.85,0.32,1.17,4,4.47,2,0,0,0.0,0.12,0.12,6,3.01
