Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
85,Adams,MID,Bournemouth,5.0,Manchester City,1.39,0.42,0.036,0.02,0.83,1.25,1.46,1.82,-1.8
605,Kilman,DEF,West Ham,4.3,Newcastle Utd,0.42,0.69,0.032,0.02,1.25,0.83,1.922,1.6,-1.58
38,Konsa,DEF,Aston Villa,4.4,Liverpool,1.25,1.39,0.016,0.02,0.56,0.97,0.8640000000000001,0.84,-0.82
40,Mings,DEF,Aston Villa,4.4,Liverpool,1.25,1.39,0.015,0.02,0.56,0.97,0.665,0.65,-0.63
239,Gittens,MID,Chelsea,6.1,Tottenham,1.11,0.83,0.03,0.02,1.11,1.25,0.79,0.99,-0.97
659,Walker-Peters,DEF,West Ham,4.4,Newcastle Utd,0.42,0.69,0.03,0.02,1.25,0.83,0.9359999999999999,0.78,-0.76
375,Bradley,DEF,Liverpool,5.0,Aston Villa,0.97,0.56,0.028000000000000004,0.02,1.39,1.25,1.19,1.49,-1.47
610,Wan-Bissaka,DEF,West Ham,4.3,Newcastle Utd,0.42,0.69,0.03,0.02,1.25,0.83,1.6433333333333333,1.36,-1.34
476,Burn,DEF,Newcastle Utd,5.1,West Ham,0.83,1.25,0.02,0.02,0.69,0.42,1.066,0.45,-0.43
409,Stones,DEF,Manchester City,5.5,Bournemouth,1.25,0.83,0.01,0.01,0.42,1.39,0.35,0.49,-0.48
32,Martinez,GK,Aston Villa,5.0,Liverpool,1.25,1.39,0.004,0.01,0.56,0.97,0.8640000000000001,0.84,-0.83
519,Dominguez,MID,Nott'ham Forest,5.0,Manchester Utd,0.14,0.97,0.015,0.01,1.25,1.53,0.22,0.34,-0.33
431,Bayindir,GK,Manchester Utd,4.9,Nott'ham Forest,1.53,1.25,0.005,0.01,0.97,0.14,1.225,0.17,-0.16
1,Raya,GK,Arsenal,5.7,Burnley,0.97,1.39,0.004,0.01,0.28,1.11,0.58,0.64,-0.63
229,B.Badiashile,DEF,Chelsea,4.4,Tottenham,1.11,0.83,0.01,0.01,1.11,1.25,1.085,1.36,-1.35
570,Danso,DEF,Tottenham,4.3,Chelsea,1.25,1.11,0.006666666666666667,0.01,0.83,1.11,0.6966666666666667,0.77,-0.76
52,J.Ramsey,MID,Newcastle Utd,5.3,West Ham,0.83,1.25,0.01,0.01,0.69,0.42,0.14,0.06,-0.05
494,Willock,MID,Newcastle Utd,5.0,West Ham,0.83,1.25,0.01,0.01,0.69,0.42,0.43,0.18,-0.17
