team,goals_scored,xg,goals_conceded,post_shot_xg,saves,Oi,Di
Arsenal,67,59.9,34,35.1,86,0.62,0.31
Aston Villa,56,56.1,51,52.1,104,0.52,0.47
Bournemouth,57,64.0,46,54.8,126,0.53,0.43
Brentford,65,59.0,57,53.3,153,0.6,0.53
Brighton,64,58.7,59,51.5,90,0.59,0.55
Burnley,66,57.5,16,27.9,89,0.51,0.12
Chelsea,61,67.8,43,45.0,111,0.56,0.4
Crystal Palace,49,60.4,51,51.2,101,0.45,0.47
Everton,39,41.8,44,48.8,117,0.36,0.41
Fulham,53,49.0,54,48.9,106,0.49,0.5
Leeds United,91,89.1,30,26.1,72,0.7,0.23
Liverpool,85,82.2,41,42.2,98,0.79,0.38
Manchester City,71,68.1,44,46.3,86,0.66,0.41
Manchester Utd,42,52.6,54,54.1,96,0.39,0.5
Newcastle Utd,66,63.8,47,47.7,115,0.61,0.43
Nott'ham Forest,57,45.5,46,49.1,119,0.53,0.43
Sunderland,55,58.1,44,41.0,98,0.42,0.34
Tottenham,61,58.8,65,66.6,119,0.56,0.6
West Ham,43,47.0,62,57.9,127,0.4,0.57
Wolves,53,43.7,69,59.7,100,0.49,0.64
