team,side,team_Oi,team_Di,opponent,opponent_Oi,opponent_Di,expected_gf,expected_ga
Sunderland,A,2.5,0.0,Burnley,0.0,2.5,6.25,0.0
Bournemouth,H,1.67,3.33,Wolves,0.0,3.33,5.56,0.0
Brighton,A,0.83,0.83,Everton,0.0,0.83,0.69,0.0
Fulham,H,0.83,0.83,Manchester Utd,0.0,0.83,0.69,0.0
Arsenal,H,0.83,0.0,Leeds United,0.83,0.0,0.0,0.0
Manchester City,H,3.33,0.0,Tottenham,2.5,0.0,0.0,0.0
West Ham,H,0.0,2.5,Chelsea,0.0,0.0,0.0,0.0
Tottenham,A,2.5,0.0,Manchester City,3.33,0.0,0.0,0.0
Nott'ham Forest,A,2.5,0.83,Crystal Palace,0.0,0.0,0.0,0.0
Newcastle Utd,H,0.0,0.0,Liverpool,3.33,1.67,0.0,0.0
Manchester Utd,A,0.0,0.83,Fulham,0.83,0.83,0.0,0.69
Leeds United,A,0.83,0.0,Arsenal,0.83,0.0,0.0,0.0
Liverpool,A,3.33,1.67,Newcastle Utd,0.0,0.0,0.0,0.0
Aston Villa,A,0.0,0.0,Brentford,0.83,2.5,0.0,0.0
Everton,H,0.0,0.83,Brighton,0.83,0.83,0.0,0.69
Crystal Palace,H,0.0,0.0,Nott'ham Forest,2.5,0.83,0.0,0.0
Chelsea,A,0.0,0.0,West Ham,0.0,2.5,0.0,0.0
Burnley,H,0.0,2.5,Sunderland,2.5,0.0,0.0,6.25
Brentford,H,0.83,2.5,Aston Villa,0.0,0.0,0.0,0.0
Wolves,A,0.0,3.33,Bournemouth,1.67,3.33,0.0,5.56
