team,team_Oi,team_Di,opponents_Oi,opponents_Di,expected_gf,expected_ga,opponents
Tottenham,12.5,0.0,5.83,9.99,24.96,0.0,"Manchester City(A), Bournemouth(H), West Ham(A), Brighton(A), Wolves(H)"
Sunderland,12.5,0.0,3.33,5.83,14.57,0.0,"Burnley(A), Brentford(H), Crystal Palace(A), Aston Villa(H), Nott'ham Forest(A)"
Manchester City,16.65,0.0,4.16,4.16,13.84,0.0,"Tottenham(H), Brighton(A), Manchester Utd(H), Arsenal(A), Burnley(H)"
Nott'ham Forest,12.5,4.15,3.33,5.0,12.5,2.76,"Crystal Palace(A), West Ham(H), Arsenal(A), Burnley(A), Sunderland(H)"
Liverpool,16.65,8.35,0.83,3.33,11.08,1.39,"Newcastle Utd(A), Arsenal(H), Burnley(A), Everton(H), Crystal Palace(A)"
Bournemouth,8.35,16.65,4.16,4.16,6.95,13.84,"Wolves(H), Tottenham(A), Brighton(H), Newcastle Utd(H), Leeds United(A)"
Leeds United,4.15,0.0,3.33,7.49,6.21,0.0,"Arsenal(A), Newcastle Utd(H), Fulham(A), Wolves(A), Bournemouth(H)"
Brighton,4.15,4.15,7.5,4.16,3.45,6.22,"Everton(A), Manchester City(H), Bournemouth(A), Tottenham(H), Chelsea(A)"
Fulham,4.15,4.15,1.66,3.33,2.76,1.38,"Manchester Utd(H), Chelsea(A), Leeds United(H), Brentford(H), Aston Villa(A)"
Arsenal,4.15,0.0,9.99,2.5,2.08,0.0,"Leeds United(H), Liverpool(A), Nott'ham Forest(H), Manchester City(H), Newcastle Utd(A)"
Brentford,4.15,12.5,3.33,1.66,1.38,8.32,"Aston Villa(H), Sunderland(A), Chelsea(H), Fulham(A), Manchester Utd(H)"
Aston Villa,0.0,0.0,4.16,4.16,0.0,0.0,"Brentford(A), Crystal Palace(H), Everton(A), Sunderland(A), Fulham(H)"
Everton,0.0,4.15,4.16,8.33,0.0,3.45,"Brighton(H), Wolves(A), Aston Villa(H), Liverpool(A), West Ham(H)"
Crystal Palace,0.0,0.0,8.33,5.0,0.0,0.0,"Nott'ham Forest(H), Aston Villa(A), Sunderland(H), West Ham(A), Liverpool(H)"
Manchester Utd,0.0,4.15,4.99,5.83,0.0,4.14,"Fulham(A), Burnley(H), Manchester City(A), Chelsea(H), Brentford(A)"
Newcastle Utd,0.0,0.0,6.66,8.33,0.0,0.0,"Liverpool(H), Leeds United(A), Wolves(H), Bournemouth(A), Arsenal(H)"
Chelsea,0.0,0.0,2.49,7.49,0.0,0.0,"West Ham(A), Fulham(H), Brentford(A), Manchester Utd(A), Brighton(H)"
Burnley,0.0,12.5,11.66,3.33,0.0,29.14,"Sunderland(H), Manchester Utd(A), Liverpool(H), Nott'ham Forest(H), Manchester City(A)"
West Ham,0.0,12.5,5.0,1.66,0.0,12.5,"Chelsea(H), Nott'ham Forest(A), Tottenham(H), Crystal Palace(H), Everton(A)"
Wolves,0.0,16.65,5.0,4.16,0.0,16.64,"Bournemouth(A), Everton(H), Newcastle Utd(A), Leeds United(H), Tottenham(A)"
