season,game,round,week,date,home_team,away_team,home_score,away_score,game_id
2526,2025-11-22 Barcelona-Ath Bilbao,13,13,2025-11-22 15:15:00+00:00,Barcelona,Ath Bilbao,4.0,0.0,14083130
2526,2025-11-22 Osasuna-Sociedad,13,13,2025-11-22 17:30:00+00:00,Osasuna,Sociedad,1.0,3.0,14083126
2526,2025-11-22 Villarreal-Mallorca,13,13,2025-11-22 20:00:00+00:00,Villarreal,Mallorca,2.0,1.0,14083134
2526,2025-11-23 Betis-Girona,13,13,2025-11-23 15:15:00+00:00,Betis,Girona,1.0,1.0,14083122
2526,2025-11-23 Elche-Real Madrid,13,13,2025-11-23 20:00:00+00:00,Elche,Real Madrid,2.0,2.0,14083124
2526,2025-11-23 Getafe-Ath Madrid,13,13,2025-11-23 17:30:00+00:00,Getafe,Ath Madrid,0.0,1.0,14083131
2526,2025-11-23 Oviedo-Vallecano,13,13,2025-11-23 13:00:00+00:00,Oviedo,Vallecano,0.0,0.0,14083128
2526,2025-11-24 Espanol-Sevilla,13,13,2025-11-24 20:00:00+00:00,Espanol,Sevilla,2.0,1.0,14083125
2526,2025-11-28 Getafe-Elche,14,14,2025-11-28 20:00:00+00:00,Getafe,Elche,1.0,0.0,14083149
2526,2025-11-29 Ath Madrid-Oviedo,14,14,2025-11-29 20:00:00+00:00,Ath Madrid,Oviedo,2.0,0.0,14083135
2526,2025-11-29 Barcelona-Alaves,14,14,2025-11-29 15:15:00+00:00,Barcelona,Alaves,3.0,1.0,14083144
2526,2025-11-29 Levante-Ath Bilbao,14,14,2025-11-29 17:30:00+00:00,Levante,Ath Bilbao,0.0,2.0,14083145
2526,2025-11-29 Mallorca-Osasuna,14,14,2025-11-29 13:00:00+00:00,Mallorca,Osasuna,2.0,2.0,14083140
2526,2025-11-30 Celta-Espanol,14,14,2025-11-30 17:30:00+00:00,Celta,Espanol,0.0,1.0,14083137
2526,2025-11-30 Girona-Real Madrid,14,14,2025-11-30 20:00:00+00:00,Girona,Real Madrid,1.0,1.0,14083139
2526,2025-11-30 Sevilla-Betis,14,14,2025-11-30 15:15:00+00:00,Sevilla,Betis,0.0,2.0,14083147
2526,2025-11-30 Sociedad-Villarreal,14,14,2025-11-30 13:00:00+00:00,Sociedad,Villarreal,2.0,3.0,14083143
2526,2025-12-01 Vallecano-Valencia,14,14,2025-12-01 20:00:00+00:00,Vallecano,Valencia,1.0,1.0,14083141
2526,2025-12-02 Barcelona-Ath Madrid,19,19,2025-12-02 20:00:00+00:00,Barcelona,Ath Madrid,3.0,1.0,14083215
2526,2025-12-03 Ath Bilbao-Real Madrid,19,19,2025-12-03 18:00:00+00:00,Ath Bilbao,Real Madrid,0.0,3.0,14083210
2526,2025-12-05 Oviedo-Mallorca,15,15,2025-12-05 20:00:00+00:00,Oviedo,Mallorca,0.0,0.0,14083162
2526,2025-12-06 Alaves-Sociedad,15,15,2025-12-06 15:15:00+00:00,Alaves,Sociedad,1.0,0.0,14083150
2526,2025-12-06 Ath Bilbao-Ath Madrid,15,15,2025-12-06 20:00:00+00:00,Ath Bilbao,Ath Madrid,1.0,0.0,14083151
2526,2025-12-06 Betis-Barcelona,15,15,2025-12-06 17:30:00+00:00,Betis,Barcelona,3.0,5.0,14083155
2526,2025-12-06 Villarreal-Getafe,15,15,2025-12-06 13:00:00+00:00,Villarreal,Getafe,2.0,0.0,14083159
2526,2025-12-07 Elche-Girona,15,15,2025-12-07 13:00:00+00:00,Elche,Girona,3.0,0.0,14083153
2526,2025-12-07 Espanol-Vallecano,15,15,2025-12-07 17:30:00+00:00,Espanol,Vallecano,1.0,0.0,14083154
2526,2025-12-07 Real Madrid-Celta,15,15,2025-12-07 20:00:00+00:00,Real Madrid,Celta,0.0,2.0,14083158
2526,2025-12-07 Valencia-Sevilla,15,15,2025-12-07 15:15:00+00:00,Valencia,Sevilla,1.0,1.0,14083163
2526,2025-12-08 Osasuna-Levante,15,15,2025-12-08 20:00:00+00:00,Osasuna,Levante,2.0,0.0,14083160
2526,2025-12-12 Sociedad-Girona,16,16,2025-12-12 20:00:00+00:00,Sociedad,Girona,1.0,2.0,14083177
2526,2025-12-13 Ath Madrid-Valencia,16,16,2025-12-13 13:00:00+00:00,Ath Madrid,Valencia,2.0,1.0,14083165
2526,2025-12-13 Barcelona-Osasuna,16,16,2025-12-13 17:30:00+00:00,Barcelona,Osasuna,2.0,0.0,14083168
2526,2025-12-13 Getafe-Espanol,16,16,2025-12-13 20:00:00+00:00,Getafe,Espanol,0.0,1.0,14083175
2526,2025-12-13 Mallorca-Elche,16,16,2025-12-13 15:15:00+00:00,Mallorca,Elche,3.0,1.0,14083174
2526,2025-12-14 Alaves-Real Madrid,16,16,2025-12-14 20:00:00+00:00,Alaves,Real Madrid,1.0,2.0,14083164
2526,2025-12-14 Celta-Ath Bilbao,16,16,2025-12-14 15:15:00+00:00,Celta,Ath Bilbao,2.0,0.0,14083171
2526,2025-12-14 Sevilla-Oviedo,16,16,2025-12-14 13:00:00+00:00,Sevilla,Oviedo,4.0,0.0,14083179
2526,2025-12-15 Vallecano-Betis,16,16,2025-12-15 20:00:00+00:00,Vallecano,Betis,0.0,0.0,14083173
2526,2025-12-19 Valencia-Mallorca,17,17,2025-12-19 20:00:00+00:00,Valencia,Mallorca,1.0,1.0,14083193
2526,2025-12-20 Levante-Sociedad,17,17,2025-12-20 15:15:00+00:00,Levante,Sociedad,1.0,1.0,14083184
2526,2025-12-20 Osasuna-Alaves,17,17,2025-12-20 17:30:00+00:00,Osasuna,Alaves,3.0,0.0,14083188
2526,2025-12-20 Oviedo-Celta,17,17,2025-12-20 13:00:00+00:00,Oviedo,Celta,0.0,0.0,14083192
2526,2025-12-20 Real Madrid-Sevilla,17,17,2025-12-20 20:00:00+00:00,Real Madrid,Sevilla,2.0,0.0,14083185
2526,2025-12-21 Betis-Getafe,17,17,2025-12-21 20:00:00+00:00,Betis,Getafe,4.0,0.0,14083181
2526,2025-12-21 Elche-Vallecano,17,17,2025-12-21 17:30:00+00:00,Elche,Vallecano,4.0,0.0,14083183
2526,2025-12-21 Girona-Ath Madrid,17,17,2025-12-21 13:00:00+00:00,Girona,Ath Madrid,0.0,3.0,14083189
2526,2025-12-21 Villarreal-Barcelona,17,17,2025-12-21 15:15:00+00:00,Villarreal,Barcelona,0.0,2.0,14083190
2526,2025-12-22 Ath Bilbao-Espanol,17,17,2025-12-22 20:00:00+00:00,Ath Bilbao,Espanol,1.0,2.0,14083180
2526,2026-01-02 Vallecano-Getafe,18,18,2026-01-02 20:00:00+00:00,Vallecano,Getafe,1.0,1.0,14083205
2526,2026-01-03 Celta-Valencia,18,18,2026-01-03 13:00:00+00:00,Celta,Valencia,4.0,1.0,14083196
2526,2026-01-03 Elche-Villarreal,18,18,2026-01-03 17:30:00+00:00,Elche,Villarreal,1.0,3.0,14083198
2526,2026-01-03 Espanol-Barcelona,18,18,2026-01-03 20:00:00+00:00,Espanol,Barcelona,0.0,2.0,14083203
2526,2026-01-03 Osasuna-Ath Bilbao,18,18,2026-01-03 15:15:00+00:00,Osasuna,Ath Bilbao,1.0,1.0,14083200
2526,2026-01-04 Alaves-Oviedo,18,18,2026-01-04 17:30:00+00:00,Alaves,Oviedo,1.0,1.0,14083194
2526,2026-01-04 Mallorca-Girona,18,18,2026-01-04 17:30:00+00:00,Mallorca,Girona,1.0,2.0,14083208
2526,2026-01-04 Real Madrid-Betis,18,18,2026-01-04 15:15:00+00:00,Real Madrid,Betis,5.0,1.0,14083204
2526,2026-01-04 Sevilla-Levante,18,18,2026-01-04 13:00:00+00:00,Sevilla,Levante,0.0,3.0,14083209
2526,2026-01-04 Sociedad-Ath Madrid,18,18,2026-01-04 20:00:00+00:00,Sociedad,Ath Madrid,1.0,1.0,14083201
2526,2026-01-09 Getafe-Sociedad,19,19,2026-01-09 20:00:00+00:00,Getafe,Sociedad,1.0,2.0,14083212
2526,2026-01-10 Girona-Osasuna,19,19,2026-01-10 17:30:00+00:00,Girona,Osasuna,1.0,0.0,14083213
2526,2026-01-10 Oviedo-Betis,19,19,2026-01-10 13:00:00+00:00,Oviedo,Betis,1.0,1.0,14083218
2526,2026-01-10 Valencia-Elche,19,19,2026-01-10 20:00:00+00:00,Valencia,Elche,1.0,1.0,14083220
2526,2026-01-10 Villarreal-Alaves,19,19,2026-01-10 15:15:00+00:00,Villarreal,Alaves,3.0,1.0,14083214
2526,2026-01-11 Levante-Espanol,19,19,2026-01-11 15:15:00+00:00,Levante,Espanol,1.0,1.0,14083222
2526,2026-01-11 Vallecano-Mallorca,19,19,2026-01-11 13:00:00+00:00,Vallecano,Mallorca,2.0,1.0,14083223
2526,2026-01-12 Sevilla-Celta,19,19,2026-01-12 20:00:00+00:00,Sevilla,Celta,0.0,1.0,14083219
2526,2026-01-16 Espanol-Girona,20,20,2026-01-16 20:00:00+00:00,Espanol,Girona,0.0,2.0,14083229
2526,2026-01-17 Betis-Villarreal,20,20,2026-01-17 20:00:00+00:00,Betis,Villarreal,2.0,0.0,14083224
2526,2026-01-17 Mallorca-Ath Bilbao,20,20,2026-01-17 15:15:00+00:00,Mallorca,Ath Bilbao,3.0,2.0,14083235
