Player ID,Name,Pos,Team,Cost,Selected by
441,Dorgu,DEF,Man Utd,4.5,8.3
442,Maguire,DEF,Man Utd,4.5,0.7
443,Shaw,DEF,Man Utd,4.5,0.3
444,Yoro,DEF,Man Utd,4.5,2.3
445,Amass,DEF,Man Utd,4.0,0.2
446,Fredricson,DEF,Man Utd,4.0,0.1
447,Heaven,DEF,Man Utd,4.0,1.4
448,Malacia,DEF,Man Utd,4.0,0.3
449,B.Fernandes,MID,Man Utd,9.0,20.9
450,Cunha,MID,Man Utd,8.0,10.7
451,Rashford,MID,Man Utd,7.0,0.0
452,Amad,MID,Man Utd,6.5,2.4
453,Garnacho,MID,Man Utd,6.4,0.2
454,Antony,MID,Man Utd,5.9,0.1
455,Mount,MID,Man Utd,6.0,0.3
456,Sancho,MID,Man Utd,5.9,0.1
457,Casemiro,MID,Man Utd,5.5,0.2
458,Mainoo,MID,Man Utd,5.0,0.6
459,Ugarte,MID,Man Utd,5.0,0.2
460,Collyer,MID,Man Utd,4.5,0.1
461,Fitzgerald,MID,Man Utd,4.5,0.0
462,J.Fletcher,MID,Man Utd,4.5,0.0
463,Kone,MID,Man Utd,4.5,0.1
464,Moorhouse,MID,Man Utd,4.5,0.0
465,Højlund,FWD,Man Utd,6.4,0.5
466,Zirkzee,FWD,Man Utd,6.0,0.4
467,Obi,FWD,Man Utd,4.5,1.9
468,Wheatley,FWD,Man Utd,4.5,0.1
469,Pope,GK,Newcastle,5.0,4.5
470,Dúbravka,GK,Burnley,4.0,34.3
471,Gillespie,GK,Newcastle,4.0,0.2
472,Odysseas,GK,Newcastle,4.0,0.0
473,Hall,DEF,Newcastle,5.5,1.7
474,Schär,DEF,Newcastle,5.5,3.1
475,Botman,DEF,Newcastle,5.0,0.4
476,Burn,DEF,Newcastle,5.0,4.5
477,Livramento,DEF,Newcastle,5.0,4.8
478,Trippier,DEF,Newcastle,5.0,2.4
479,Krafth,DEF,Newcastle,4.5,0.0
480,Lascelles,DEF,Newcastle,4.5,0.1
481,A.Murphy,DEF,Newcastle,4.0,0.8
482,Ashby,DEF,Newcastle,4.0,0.1
483,Pivas,DEF,Newcastle,4.0,0.1
484,Targett,DEF,Newcastle,4.0,0.5
485,Gordon,MID,Newcastle,7.5,2.4
486,Elanga,MID,Newcastle,7.0,7.3
487,Barnes,MID,Newcastle,6.5,0.6
488,Bruno G.,MID,Newcastle,6.5,1.6
489,J.Murphy,MID,Newcastle,6.4,1.6
490,Joelinton,MID,Newcastle,6.0,0.4
491,Tonali,MID,Newcastle,5.5,1.7
492,Antoñito C.,MID,Newcastle,5.0,0.0
493,Longstaff,MID,Leeds,5.0,0.2
494,Willock,MID,Newcastle,5.0,0.0
495,Hayden,MID,Newcastle,4.5,0.0
496,Kuol,MID,Newcastle,4.5,0.1
497,L.Miley,MID,Newcastle,4.5,2.3
498,White,MID,Newcastle,4.5,0.0
499,Isak,FWD,Newcastle,10.4,4.0
500,Osula,FWD,Newcastle,5.5,0.3
501,Neave,FWD,Newcastle,4.5,0.2
502,Sels,GK,Nott'm Forest,5.0,18.7
503,C.Miguel,GK,Nott'm Forest,4.0,0.2
504,Turner,GK,Nott'm Forest,4.0,0.2
505,Milenković,DEF,Nott'm Forest,5.5,9.3
506,Murillo,DEF,Nott'm Forest,5.5,6.4
507,Aina,DEF,Nott'm Forest,5.0,14.3
508,N.Williams,DEF,Nott'm Forest,5.0,9.4
509,David Carmo,DEF,Nott'm Forest,4.5,0.0
510,Jair Cunha,DEF,Nott'm Forest,4.5,0.1
511,Morato,DEF,Nott'm Forest,4.5,0.1
512,O.Richards,DEF,Nott'm Forest,4.5,0.0
