Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Goals,h_Assists,hxG,hxA,hxGI,h_Gc,hxGc,a_Goals,a_Assists,axG,axA,axGI,a_Gc,axGc
517,Anderson,MID,Nott'm Forest,5.5,6,1,1.09,0,1,0.39,0.28,0.67,1,1.5,0,11,0,0,1,0.39,0.28,0.67,1,1.5,0,0,0.0,0.0,0.0,0,0.0
449,B.Fernandes,MID,Man Utd,9.0,2,0,0.22,0,0,0.15,0.3,0.45,1,1.05,0,11,0,0,0,0.15,0.3,0.45,1,1.05,0,0,0.0,0.0,0.0,0,0.0
381,M.Salah,MID,Liverpool,14.5,8,1,0.55,1,0,0.26,0.11,0.37,2,1.7,0,10,0,1,0,0.26,0.11,0.37,2,1.7,0,0,0.0,0.0,0.0,0,0.0
427,Reijnders,MID,Man City,5.5,10,0,1.82,1,1,0.12,0.21,0.33,0,0.49,1,3,0,0,0,0.0,0.0,0.0,0,0.0,1,1,0.12,0.21,0.33,0,0.49
249,João Pedro,FWD,Chelsea,7.5,2,0,0.27,0,0,0.3,0.02,0.32,0,1.02,1,1,0,0,0,0.3,0.02,0.32,0,1.02,0,0,0.0,0.0,0.0,0,0.0
568,Pedro Porro,DEF,Spurs,5.5,6,0,1.09,0,0,0.02,0.26,0.28,0,0.94,1,4,0,0,0,0.02,0.26,0.28,0,0.94,0,0,0.0,0.0,0.0,0,0.0
235,Palmer,MID,Chelsea,10.5,3,0,0.29,0,0,0.21,0.03,0.24,0,1.07,1,4,0,0,0,0.21,0.03,0.24,0,1.07,0,0,0.0,0.0,0.0,0,0.0
373,Virgil,DEF,Liverpool,6.0,3,0,0.5,0,0,0.18,0.01,0.19,2,1.7,0,21,0,0,0,0.18,0.01,0.19,2,1.7,0,0,0.0,0.0,0.0,0,0.0
64,Watkins,FWD,Aston Villa,9.0,2,0,0.22,0,0,0.12,0.01,0.13,0,1.43,1,5,0,0,0,0.12,0.01,0.13,0,1.43,0,0,0.0,0.0,0.0,0,0.0
145,De Cuyper,DEF,Brighton,4.5,2,0,0.44,0,0,0.0,0.09,0.09,1,0.69,0,4,0,0,0,0.0,0.09,0.09,1,0.69,0,0,0.0,0.0,0.0,0,0.0
508,N.Williams,DEF,Nott'm Forest,5.0,1,0,0.2,0,0,0.0,0.09,0.09,1,1.5,0,6,0,0,0,0.0,0.09,0.09,1,1.5,0,0,0.0,0.0,0.0,0,0.0
191,Estève,DEF,Burnley,4.0,1,0,0.25,0,0,0.05,0.0,0.05,3,2.32,0,8,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.05,0.0,0.05,3,2.32
220,Sánchez,GK,Chelsea,5.0,7,0,1.4,0,0,0.0,0.0,0.0,0,1.07,1,0,4,0,0,0.0,0.0,0.0,0,1.07,0,0,0.0,0.0,0.0,0,0.0
470,Dúbravka,GK,Burnley,4.0,2,0,0.5,0,0,0.0,0.0,0.0,3,2.32,0,0,3,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,3,2.32
252,Marc Guiu,FWD,Sunderland,4.5,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0
