Player ID,Name,Pos,Team,Cost,opponent,team_Oi,opponent_Di,xGI,projected GI,team_Di,opponent_Oi,xGc,projected Gc,projected net goals
106,Collins,DEF,Brentford,5.0,Sunderland,0.77,0.77,0.015,0.01,1.15,1.15,1.525,1.75,-1.74
93,H.Traorè,MID,Bournemouth,4.5,Tottenham,1.15,0.0,0.0,0.0,1.54,1.92,0.4,0.77,-0.77
305,Armstrong,MID,Everton,4.5,Wolves,0.77,1.92,0.0,0.0,0.38,0.0,0.0,0.0,0.0
230,Fofana,DEF,Chelsea,4.5,Fulham,1.92,0.77,0.0,0.0,0.38,0.77,0.44,0.34,-0.34
108,Ajer,DEF,Brentford,4.5,Sunderland,0.77,0.77,0.0,0.0,1.15,1.15,0.1,0.12,-0.12
96,Winterburn,MID,Bournemouth,4.5,Tottenham,1.15,0.0,0.0,0.0,1.54,1.92,0.31,0.6,-0.6
570,Danso,DEF,Tottenham,4.4,Bournemouth,1.92,1.54,0.0,0.0,0.0,1.15,0.0,0.0,0.0
447,Heaven,DEF,Manchester Utd,4.0,Burnley,0.38,1.15,0.0,0.0,0.77,0.77,0.03,0.02,-0.02
346,Byram,DEF,Leeds United,4.0,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,0.79,0.61,-0.61
199,Worrall,DEF,Burnley,4.0,Manchester Utd,0.77,0.77,0.0,0.0,1.15,0.38,0.11,0.04,-0.04
314,Leno,GK,Fulham,5.0,Chelsea,0.77,0.38,0.0,0.0,0.77,1.92,1.555,2.99,-2.99
116,Hickey,DEF,Brentford,4.0,Sunderland,0.77,0.77,0.0,0.0,1.15,1.15,0.12,0.14,-0.14
392,Endo,MID,Liverpool,5.0,Arsenal,2.69,0.0,0.0,0.0,1.54,2.31,0.445,1.03,-1.03
493,Longstaff,MID,Leeds United,5.0,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,0.515,0.4,-0.4
272,Lerma,MID,Crystal Palace,5.0,Aston Villa,0.38,0.38,0.0,0.0,0.38,0.0,0.325,0.0,0.0
623,Potts,MID,West Ham,4.5,Nott'ham Forest,0.38,0.77,0.0,0.0,3.08,1.54,1.12,1.72,-1.72
682,Møller Wolfe,DEF,Wolves,4.5,Everton,0.0,0.38,0.0,0.0,1.92,0.77,1.47,1.13,-1.13
100,Kroupi.Jr,FWD,Bournemouth,4.5,Tottenham,1.15,0.0,0.0,0.0,1.54,1.92,0.085,0.16,-0.16
77,Hill,DEF,Bournemouth,4.0,Tottenham,1.15,0.0,0.0,0.0,1.54,1.92,0.085,0.16,-0.16
356,Gruev,MID,Leeds United,5.0,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,1.58,1.22,-1.22
128,Onyeka,MID,Brentford,5.0,Sunderland,0.77,0.77,0.0,0.0,1.15,1.15,0.155,0.18,-0.18
139,Verbruggen,GK,Brighton,4.5,Manchester City,0.38,0.77,0.0,0.0,1.15,1.54,1.18,1.82,-1.82
585,Bentancur,MID,Tottenham,5.5,Bournemouth,1.92,1.54,0.0,0.0,0.0,1.15,0.795,0.91,-0.91
502,Sels,GK,Nott'ham Forest,5.0,West Ham,1.54,3.08,0.0,0.0,0.77,0.38,1.3,0.49,-0.49
215,Flemming,FWD,Burnley,5.5,Manchester Utd,0.77,0.77,0.0,0.0,1.15,0.38,0.17,0.06,-0.06
170,Milner,MID,Brighton,5.0,Manchester City,0.38,0.77,0.0,0.0,1.15,1.54,0.24,0.37,-0.37
635,R.Gomes,DEF,Wolves,4.5,Everton,0.0,0.38,0.0,0.0,1.92,0.77,0.24,0.18,-0.18
406,Khusanov,DEF,Manchester City,5.5,Brighton,1.54,1.15,0.0,0.0,0.77,0.38,0.08,0.03,-0.03
672,Hato,DEF,Chelsea,4.9,Fulham,1.92,0.77,0.0,0.0,0.38,0.77,0.44,0.34,-0.34
331,Cairney,MID,Fulham,5.0,Chelsea,0.77,0.38,0.0,0.0,0.77,1.92,0.43,0.83,-0.83
148,F.Kadıoğlu,DEF,Brighton,4.5,Manchester City,0.38,0.77,0.0,0.0,1.15,1.54,0.32,0.49,-0.49
584,Tel,MID,Tottenham,6.4,Bournemouth,1.92,1.54,0.0,0.0,0.0,1.15,0.0,0.0,0.0
696,Kalimuendo,FWD,Nott'ham Forest,6.0,West Ham,1.54,3.08,0.0,0.0,0.77,0.38,0.0,0.0,0.0
22,Merino,MID,Arsenal,5.9,Liverpool,2.31,1.54,0.0,0.0,0.0,2.69,0.49,1.32,-1.32
698,Okafor,MID,Leeds United,5.5,Newcastle Utd,0.38,1.15,0.0,0.0,1.92,0.77,0.87,0.67,-0.67
662,Mosquera,DEF,Arsenal,5.5,Liverpool,2.31,1.54,0.0,0.0,0.0,2.69,0.0,0.0,0.0
518,Jota,MID,Nott'ham Forest,5.5,West Ham,1.54,3.08,0.0,0.0,0.77,0.38,0.0,0.0,0.0
